Calibration,1,15h45m8s," "," "
"Time, s",Light,Threshold,,
0.351,-50,92,,
0.851,235,234,,
1.351,263,248,,
1.851,276,255,,
2.352,281,257,,
2.867,284,259,,
3.371,286,260,,
3.872,287,260,,
4.372,286,260,,
4.872,287,260,,
5.388,287,260,,
5.888,287,260,,
6.403,287,260,,
6.923,288,261,,
7.441,288,261,,
7.957,288,261,,
8.472,287,260,,
8.988,287,260,,
9.488,287,260,,
9.988,287,260,,
10.488,287,260,,
11.003,278,256,,
11.523,279,256,,
12.041,281,257,,
12.541,291,262,,
13.056,291,262,,
13.557,289,261,,
14.072,289,261,,
14.588,289,261,,
15.103,291,262,,
15.604,293,263,,
16.123,293,263,,
16.64,293,263,,
17.141,294,264,,
17.656,293,263,,
18.157,293,263,,
18.672,292,263,,
19.172,293,263,,
19.688,293,263,,
20.189,293,263,,
20.704,293,263,,
21.205,293,263,,
21.706,293,263,,
22.206,294,264,,
22.713,293,263,,
23.213,294,264,,
23.713,294,264,,
24.217,294,264,,
24.721,294,264,,
25.224,295,264,,
25.727,295,264,,
26.228,295,264,,
26.731,295,264,,
27.247,295,264,,
27.747,294,264,,
28.251,295,264,,
28.753,294,264,,
29.254,295,264,,
29.754,295,264,,
30.254,295,264,,
30.759,294,264,,
31.261,294,264,,
31.776,294,264,,
32.277,295,264,,
32.778,294,264,,
33.282,295,264,,
33.783,295,264,,
34.283,295,264,,
34.784,295,264,,
35.285,295,264,,
35.792,295,264,,
36.297,294,264,,
36.8,294,264,,
37.315,295,264,,
37.815,294,264,,
38.315,293,263,,
38.816,293,263,,
39.335,294,264,,
39.853,294,264,,
40.368,294,264,,
40.884,294,264,,
41.399,294,264,,
41.914,294,264,,
42.416,294,264,,
42.918,294,264,,
43.436,294,264,,
43.955,294,264,,
44.47,295,264,,
44.985,295,264,,
45.5,294,264,,
46.016,293,263,,
46.535,292,263,,
47.053,285,259,,
47.568,280,257,,
48.084,279,256,,
48.599,278,256,,
49.115,278,256,,
49.634,278,256,,
50.152,278,256,,
50.668,279,256,,
51.17,279,256,,
51.67,278,256,,
52.186,278,256,,
52.701,279,256,,
53.201,278,256,,
53.702,278,256,,
54.217,278,256,,
54.736,278,256,,
55.254,278,256,,
55.754,278,256,,
56.268,278,256,,
56.786,279,256,,
57.288,278,256,,
57.788,278,256,,
58.289,278,256,,
58.789,277,255,,
59.29,278,256,,
59.806,278,256,,
60.306,278,256,,
60.822,278,256,,
61.322,278,256,,
61.824,278,256,,
62.327,277,255,,
62.83,276,255,,
63.346,275,254,,
63.861,274,254,,
64.38,274,254,,
64.899,274,254,,
65.414,274,254,,
65.914,274,254,,
66.429,274,254,,
66.929,275,254,,
67.445,274,254,,
67.96,275,254,,
68.479,275,254,,
68.997,275,254,,
69.512,275,254,,
70.016,275,254,,
70.52,276,255,,
71.038,275,254,,
71.539,274,254,,
72.039,274,254,,
72.54,274,254,,
73.055,274,254,,
73.571,274,254,,
74.071,274,254,,
74.571,274,254,,
75.071,275,254,,
75.572,274,254,,
76.074,274,254,,
76.589,274,254,,
77.091,274,254,,
77.606,273,253,,
78.125,264,249,,
78.643,256,245,,
79.143,228,231,,
79.659,219,226,,
80.174,218,226,,
80.677,216,225,,
81.192,217,225,,
81.694,216,225,,
82.197,218,226,,
Set 0,15h47m41s,"Conc. KIO3, M","Conc. NAHSO4, M"," "
Trial,"Time, s",,,
1,11.039,,,
2,0.0,,,
3,0.0,,,
