Calibration,1,16h37m29s," "," ",Calibration,2,16h38m9s," "," "
"Time, s",Light,Threshold,,,"Time, s",Light,Threshold,,
0.366,908,908,,,0.359,544,544,,
0.868,910,909,,,0.878,743,643,,
1.372,910,909,,,1.378,747,645,,
1.875,908,908,,,1.879,740,642,,
2.376,909,908,,,2.385,746,645,,
2.891,889,898,,,2.885,747,645,,
3.391,803,855,,,3.393,744,644,,
3.895,704,806,,,3.898,744,644,,
4.398,679,793,,,4.404,742,643,,
4.903,652,780,,,4.908,745,644,,
5.41,668,788,,,5.41,740,642,,
5.914,912,910,,,5.916,647,595,,
6.421,911,909,,,6.423,505,524,,
6.925,710,809,,,6.923,496,520,,
7.431,741,824,,,7.424,495,519,,
7.937,672,790,,,7.924,494,519,,
8.44,741,824,,,8.428,494,519,,
8.945,593,750,,,8.93,493,518,,
9.45,495,701,,,9.438,493,518,,
9.952,507,707,,,9.942,493,518,,
10.456,507,707,,,10.448,493,518,,
10.964,508,708,,,10.949,493,518,,
11.468,506,707,,,11.453,494,519,,
11.97,506,707,,,11.955,500,522,,
12.474,480,694,,,12.458,515,529,,
12.981,-50,429,,,12.962,495,519,,
13.49,469,688,,,13.468,495,519,,
13.996,468,688,,,13.97,494,519,,
14.502,468,688,,,14.474,741,642,,
15.004,468,688,,,14.974,745,644,,
15.507,468,688,,,15.477,739,641,,
16.011,468,688,,,15.983,740,642,,
16.525,470,689,,,16.486,746,645,,
17.035,472,690,,,16.991,740,642,,
17.538,477,692,,,17.495,746,645,,
18.044,543,725,,,18.0,742,643,,
18.55,728,818,,,18.502,742,643,,
19.058,734,821,,,19.003,744,644,,
19.566,499,703,,,19.51,744,644,,
20.071,493,700,,,20.015,743,643,,
20.575,491,699,,,20.516,741,642,,
21.075,490,699,,,21.023,737,640,,
21.591,490,699,,,21.524,737,640,,
22.091,490,699,,,22.026,741,642,,
22.591,490,699,,,22.55,742,643,,
23.092,646,777,,,23.052,531,537,,
23.592,736,822,,,23.556,521,532,,
24.096,739,823,,,24.06,504,524,,
24.596,740,824,,,24.568,504,524,,
,,,,,25.073,504,524,,
,,,,,25.589,494,519,,
,,,,,26.089,480,512,,
,,,,,26.59,484,514,,
,,,,,27.09,485,514,,
,,,,,27.606,485,514,,
,,,,,28.109,483,513,,
