Calibration,1,15h37m8s," "," "
"Time, s",Light,Threshold,,
0.363,254,102,,
0.878,266,108,,
1.38,-50,-50,,
1.881,-50,-50,,
2.385,-50,-50,,
2.888,287,118,,
3.393,-50,-50,,
3.903,-50,-50,,
4.417,-50,-50,,
4.919,-50,-50,,
5.434,293,121,,
5.953,-50,-50,,
6.473,294,122,,
6.974,295,122,,
7.474,294,122,,
7.989,-50,-50,,
8.494,295,122,,
8.997,-50,-50,,
9.498,-50,-50,,
10.001,295,122,,
10.504,294,122,,
11.01,-50,-50,,
11.51,-50,-50,,
12.011,295,122,,
Set 0,15h37m20s,"Conc. KIO3, M","Conc. NAHSO4, M"," "
Trial,"Time, s",,,
1,0.0,,,
2,0.001,,,
3,0.0,,,
4,0.0,,,
5,0.0,,,
6,0.0,,,
7,0.0,,,
8,0.004,,,
9,0.0,,,
10,0.0,,,
11,0.0,,,
12,0.0,,,
13,0.0,,,
14,0.0,,,
15,0.0,,,
16,0.0,,,
17,0.0,,,
18,0.0,,,
19,0.004,,,
20,0.004,,,
