Calibration,1,15h17m7s," "," "
"Time, s",Light,Threshold,,
0.115,-50,376,,
0.616,853,828,,
1.124,847,825,,
1.625,857,830,,
2.131,910,856,,
2.634,911,857,,
3.135,914,858,,
3.638,915,859,,
4.15,917,860,,
4.653,914,858,,
5.169,909,856,,
5.672,899,851,,
6.176,891,847,,
6.68,882,842,,
7.188,876,839,,
7.692,874,838,,
8.197,869,836,,
8.707,865,834,,
9.213,862,832,,
9.715,870,836,,
10.215,902,852,,
10.718,913,858,,
11.231,902,852,,
11.746,882,842,,
12.249,866,834,,
12.766,850,826,,
13.284,844,823,,
13.788,831,817,,
14.3,779,791,,
14.815,762,782,,
15.315,750,776,,
15.831,754,778,,
16.331,753,778,,
16.834,749,776,,
17.335,738,770,,
17.835,727,765,,
18.35,728,765,,
18.851,729,766,,
19.353,731,767,,
19.86,730,766,,
20.364,728,765,,
20.866,724,763,,
21.372,721,762,,
21.876,717,760,,
22.379,714,758,,
22.885,717,760,,
23.391,715,759,,
23.899,715,759,,
24.403,740,771,,
24.912,745,774,,
25.415,714,758,,
25.931,709,756,,
26.446,706,754,,
26.947,705,754,,
27.447,706,754,,
27.95,704,753,,
28.455,699,751,,
28.96,696,749,,
29.465,698,750,,
29.971,722,762,,
30.479,729,766,,
30.984,727,765,,
31.487,731,767,,
31.99,731,767,,
