Calibration,1,16h26m18s," "," "
"Time, s",Light,Threshold,,
0.365,898,898,,
0.873,911,904,,
1.377,914,906,,
1.885,911,904,,
2.388,915,906,,
2.892,836,867,,
3.398,792,845,,
3.902,691,794,,
4.409,662,780,,
4.912,661,779,,
5.419,659,778,,
5.919,661,779,,
6.423,659,778,,
6.927,660,779,,
7.434,661,779,,
7.942,661,779,,
8.446,665,781,,
8.954,665,781,,
9.461,707,802,,
9.962,914,906,,
10.481,915,906,,
11.002,914,906,,
11.504,720,809,,
12.014,628,763,,
12.514,485,691,,
13.021,489,693,,
13.524,495,696,,
14.027,493,695,,
14.531,493,695,,
15.039,493,695,,
15.547,493,695,,
16.049,493,695,,
16.551,493,695,,
17.058,493,695,,
17.562,493,695,,
Set 0,16h26m48s,"Conc. KIO3, M","Conc. NAHSO4, M"," "
Trial,"Time, s",,,
1,0.001,,,
2,0.0,,,
3,0.0,,,
4,0.0,,,
5,0.0,,,
6,0.0,,,
7,0.0,,,
8,0.0,,,
9,0.0,,,
10,0.0,,,
11,0.001,,,
12,0.0,,,
13,0.0,,,
14,0.0,,,
15,0.0,,,
16,0.0,,,
17,0.0,,,
18,0.0,,,
19,0.0,,,
20,0.0,,,
Set 1,16h27m5s,"Conc. KIO3, M","Conc. NAHSO4, M"," "
Trial,"Time, s",,,
1,0.0,,,
2,0.0,,,
3,0.0,,,
4,0.0,,,
5,0.0,,,
6,0.0,,,
7,0.0,,,
