Calibration,1,16h49m35s," "," "
"Time, s",Light,Threshold,,
0.351,668,662,,
0.852,739,697,,
1.357,735,695,,
1.858,735,695,,
2.358,740,698,,
2.858,740,698,,
3.363,734,695,,
3.867,740,698,,
4.375,727,691,,
4.879,602,629,,
5.382,540,598,,
5.89,532,594,,
6.393,529,592,,
6.898,527,591,,
7.404,528,592,,
7.905,526,591,,
8.407,526,591,,
8.907,529,592,,
9.41,530,593,,
9.911,528,592,,
10.42,527,591,,
10.924,563,609,,
11.43,521,588,,
11.937,488,572,,
12.437,487,571,,
12.938,487,571,,
13.441,487,571,,
13.941,487,571,,
14.442,486,571,,
14.944,486,571,,
15.451,487,571,,
15.956,487,571,,
16.462,488,572,,
16.966,487,571,,
17.471,487,571,,
17.978,487,571,,
18.483,487,571,,
18.988,486,571,,
19.49,486,571,,
19.993,486,571,,
20.494,487,571,,
21.001,486,571,,
21.504,486,571,,
22.009,486,571,,
22.515,486,571,,
23.018,486,571,,
23.523,486,571,,
24.026,486,571,,
