Calibration,1,16h45m32s," "," "
"Time, s",Light,Threshold,,
0.362,900,900,,
0.863,906,903,,
1.365,908,904,,
1.884,910,905,,
2.392,910,905,,
2.913,908,904,,
3.418,820,860,,
3.921,814,857,,
4.425,794,847,,
4.933,800,850,,
5.441,795,847,,
5.947,759,829,,
6.447,750,825,,
6.952,745,822,,
7.453,738,819,,
7.953,733,816,,
8.456,750,825,,
8.959,743,821,,
9.463,751,825,,
9.971,746,823,,
10.477,742,821,,
10.983,651,775,,
11.491,553,726,,
11.991,537,718,,
12.496,549,724,,
12.998,561,730,,
13.498,562,731,,
14.001,498,699,,
14.505,486,693,,
15.011,500,700,,
15.517,505,702,,
16.025,505,702,,
16.532,503,701,,
17.036,504,702,,
17.544,493,696,,
18.047,481,690,,
18.549,482,691,,
19.053,480,690,,
19.559,480,690,,
20.06,481,690,,
20.562,481,690,,
21.067,481,690,,
21.569,481,690,,
22.072,481,690,,
22.578,480,690,,
23.08,480,690,,
23.586,481,690,,
24.089,481,690,,
24.592,480,690,,
25.097,479,689,,
25.597,502,701,,
26.098,739,819,,
26.613,741,820,,
27.129,499,699,,
27.629,491,695,,
28.129,489,694,,
28.634,489,694,,
29.137,487,693,,
29.646,487,693,,
30.149,487,693,,
30.657,487,693,,
31.163,486,693,,
31.669,488,694,,
32.173,737,818,,
32.679,748,824,,
33.179,744,822,,
33.679,602,751,,
34.184,577,738,,
34.688,576,738,,
35.192,490,695,,
35.697,498,699,,
36.201,502,701,,
36.707,503,701,,
37.217,481,690,,
37.723,482,691,,
38.228,479,689,,
38.729,481,690,,
39.23,481,690,,
39.735,481,690,,
40.239,481,690,,
40.743,481,690,,
41.248,481,690,,
41.752,482,691,,
42.254,482,691,,
42.758,484,692,,
43.262,479,689,,
43.766,475,687,,
44.272,476,688,,
44.779,475,687,,
45.279,476,688,,
45.795,476,688,,
46.298,475,687,,
46.8,475,687,,
47.304,483,691,,
47.814,485,692,,
Set 0,16h46m28s,"Conc. KIO3, M","Conc. NAHSO4, M"," "
Trial,"Time, s",,,
1,0.0,,,
2,0.0,,,
3,0.0,,,
4,0.0,,,
5,0.0,,,
6,0.0,,,
7,0.0,,,
8,0.0,,,
9,0.0,,,
10,0.0,,,
11,0.0,,,
12,0.0,,,
13,0.0,,,
14,0.0,,,
15,0.0,,,
16,0.0,,,
17,0.001,,,
18,0.0,,,
19,0.0,,,
20,0.0,,,
21,0.0,,,
22,0.0,,,
23,0.001,,,
24,0.0,,,
25,0.0,,,
26,0.0,,,
27,0.0,,,
28,0.0,,,
29,0.0,,,
30,0.0,,,
31,0.0,,,
32,0.0,,,
33,0.0,,,
34,0.0,,,
35,0.0,,,
36,0.0,,,
37,0.0,,,
38,0.0,,,
39,0.0,,,
40,0.0,,,
41,0.0,,,
42,0.0,,,
43,0.0,,,
44,0.0,,,
45,0.0,,,
46,0.0,,,
47,0.0,,,
48,0.0,,,
49,0.0,,,
50,0.0,,,
51,0.0,,,
52,0.0,,,
53,0.0,,,
54,0.0,,,
55,0.0,,,
56,0.0,,,
57,0.0,,,
58,0.0,,,
59,0.0,,,
60,0.0,,,
61,0.0,,,
62,0.0,,,
63,0.0,,,
64,0.0,,,
65,0.0,,,
66,0.0,,,
67,0.0,,,
68,0.0,,,
69,0.0,,,
70,0.0,,,
71,0.0,,,
72,0.0,,,
73,0.0,,,
74,0.0,,,
75,0.0,,,
76,0.0,,,
77,0.0,,,
78,0.0,,,
79,0.0,,,
80,0.0,,,
81,0.0,,,
82,0.0,,,
83,0.0,,,
84,0.0,,,
85,0.0,,,
86,0.0,,,
87,0.0,,,
88,0.0,,,
89,0.0,,,
90,0.0,,,
91,0.0,,,
92,0.0,,,
93,0.0,,,
94,0.0,,,
95,0.0,,,
96,0.0,,,
97,0.0,,,
98,0.0,,,
99,0.0,,,
100,0.0,,,
101,0.0,,,
102,0.0,,,
103,0.0,,,
104,0.0,,,
105,0.0,,,
106,0.0,,,
107,0.0,,,
108,0.0,,,
109,0.0,,,
110,0.0,,,
111,0.0,,,
112,0.0,,,
113,0.0,,,
114,0.0,,,
115,0.0,,,
116,0.0,,,
117,0.0,,,
118,0.0,,,
119,0.0,,,
120,0.0,,,
121,0.0,,,
122,0.0,,,
