Calibration,1,17h44m26s," "," "
"Time, s",Light,Threshold,,
0.502,-50,-50,,
1.009,713,331,,
1.514,716,333,,
2.018,715,332,,
2.534,702,326,,
3.034,698,324,,
3.534,698,324,,
4.049,698,324,,
4.549,698,324,,
5.049,697,323,,
5.568,698,324,,
6.087,698,324,,
6.588,698,324,,
7.088,698,324,,
7.589,697,323,,
8.089,698,324,,
8.595,698,324,,
9.103,698,324,,
9.605,698,324,,
10.111,697,323,,
10.619,698,324,,
11.124,698,324,,
11.63,698,324,,
12.133,698,324,,
12.637,698,324,,
13.138,698,324,,
13.638,699,324,,
14.141,698,324,,
14.642,698,324,,
15.157,699,324,,
15.661,698,324,,
16.165,698,324,,
16.673,698,324,,
17.177,698,324,,
17.689,698,324,,
18.19,698,324,,
18.694,698,324,,
19.196,698,324,,
19.705,698,324,,
20.207,697,323,,
20.715,697,323,,
21.216,697,323,,
21.717,697,323,,
22.226,697,323,,
22.733,697,323,,
23.246,697,323,,
23.749,697,323,,
24.249,697,323,,
24.768,697,323,,
25.271,697,323,,
25.787,697,323,,
26.288,697,323,,
26.803,697,323,,
27.303,697,323,,
27.819,697,323,,
28.323,696,323,,
28.829,697,323,,
29.334,697,323,,
29.836,696,323,,
30.344,697,323,,
30.851,696,323,,
31.366,696,323,,
31.871,697,323,,
32.378,698,324,,
32.884,697,323,,
33.384,697,323,,
33.899,698,324,,
34.418,698,324,,
34.937,697,323,,
35.448,698,324,,
35.962,697,323,,
36.471,697,323,,
36.974,697,323,,
37.479,697,323,,
37.982,696,323,,
38.496,697,323,,
39.008,696,323,,
39.513,697,323,,
40.018,697,323,,
40.518,697,323,,
41.034,697,323,,
41.549,697,323,,
42.05,697,323,,
42.552,698,324,,
43.07,697,323,,
43.573,697,323,,
44.077,696,323,,
44.584,696,323,,
45.087,696,323,,
45.587,696,323,,
46.087,696,323,,
46.587,697,323,,
47.103,697,323,,
47.603,696,323,,
48.103,696,323,,
48.603,696,323,,
49.117,696,323,,
49.62,696,323,,
50.121,696,323,,
50.626,695,322,,
51.141,696,323,,
51.645,696,323,,
52.149,696,323,,
52.658,696,323,,
53.165,696,323,,
53.668,696,323,,
54.172,696,323,,
54.686,696,323,,
55.186,696,323,,
55.687,696,323,,
56.188,696,323,,
56.691,696,323,,
57.198,696,323,,
57.702,696,323,,
58.207,696,323,,
58.714,696,323,,
59.216,695,322,,
59.723,695,322,,
60.238,695,322,,
60.744,695,322,,
61.246,695,322,,
61.749,695,322,,
62.249,695,322,,
62.768,694,322,,
63.287,695,322,,
63.802,694,322,,
64.303,695,322,,
64.803,695,322,,
65.303,695,322,,
65.803,696,323,,
66.306,696,323,,
66.806,696,323,,
67.31,696,323,,
67.823,695,322,,
68.324,696,323,,
68.827,696,323,,
69.332,696,323,,
69.833,696,323,,
70.338,696,323,,
70.843,697,323,,
71.352,696,323,,
71.858,696,323,,
72.373,696,323,,
72.881,696,323,,
73.382,696,323,,
73.883,696,323,,
74.384,696,323,,
74.884,696,323,,
75.384,696,323,,
75.885,696,323,,
76.4,696,323,,
76.904,696,323,,
77.417,696,323,,
77.918,695,322,,
78.422,695,322,,
78.931,695,322,,
79.438,694,322,,
79.948,694,322,,
80.464,693,321,,
80.968,693,321,,
81.486,692,321,,
81.987,691,320,,
82.487,689,319,,
82.987,688,319,,
83.502,687,318,,
84.003,685,317,,
84.503,683,316,,
85.011,681,315,,
85.524,678,314,,
86.03,675,312,,
86.537,668,309,,
87.039,659,304,,
87.55,646,298,,
88.055,632,291,,
88.562,620,285,,
89.066,612,281,,
89.57,606,278,,
90.086,603,276,,
90.59,601,275,,
91.097,600,275,,
91.598,599,274,,
92.105,598,274,,
92.609,597,273,,
93.111,597,273,,
93.611,597,273,,
94.119,596,273,,
94.623,596,273,,
95.139,596,273,,
95.644,596,273,,
96.149,596,273,,
96.649,596,273,,
97.149,596,273,,
97.65,596,273,,
