Calibration,1,23h45m13s," "," "
"Time, s",Light,Threshold,,
0.503,364,362,,
1.006,404,382,,
1.508,390,375,,
2.013,356,358,,
2.517,358,348,,
3.022,332,346,,
3.526,242,301,,
4.028,70,215,,
4.533,34,197,,
5.038,42,201,,
5.542,30,195,,
6.045,30,195,,
6.55,30,195,,
7.058,30,195,,
7.562,28,194,,
8.067,30,195,,
8.571,26,193,,
9.075,34,197,,
9.579,36,198,,
10.085,28,194,,
10.592,28,194,,
11.098,30,195,,
11.603,30,195,,
12.108,26,193,,
12.613,30,195,,
13.118,30,195,,
13.621,28,194,,
14.125,28,194,,
14.632,28,194,,
15.137,26,193,,
15.642,124,242,,
16.144,468,414,,
16.645,468,414,,
17.149,486,423,,
17.653,474,417,,
18.156,316,338,,
18.66,162,261,,
19.164,68,214,,
19.667,54,207,,
20.17,48,204,,
20.674,62,211,,
21.179,80,220,,
21.682,100,230,,
22.186,116,238,,
22.69,112,236,,
