Calibration,1,21h43m45s," "," ",Calibration,2,21h44m15s," "," "
"Time, s",Light,Threshold,,,"Time, s",Light,Threshold,,
0.509,694,693,,,0.505,722,721,,
1.012,778,735,,,1.01,719,720,,
1.517,782,737,,,1.513,740,730,,
2.019,782,737,,,2.017,770,745,,
2.521,782,737,,,2.521,780,750,,
3.023,783,738,,,3.022,783,752,,
3.525,783,738,,,3.525,784,752,,
4.028,779,736,,,4.029,783,752,,
4.53,770,731,,,4.533,754,737,,
5.035,755,724,,,5.038,539,630,,
5.538,722,707,,,5.542,463,592,,
6.042,746,719,,,6.046,349,535,,
6.546,770,731,,,6.551,233,477,,
7.05,774,733,,,7.054,129,425,,
7.554,713,703,,,7.558,36,378,,
8.058,290,491,,,8.06,27,374,,
8.563,73,383,,,8.561,23,372,,
9.067,44,368,,,9.062,31,376,,
9.572,42,367,,,9.567,32,376,,
10.075,42,367,,,10.071,28,374,,
10.58,41,367,,,10.575,26,373,,
11.084,40,366,,,11.078,20,370,,
11.588,38,365,,,11.583,25,373,,
12.091,109,401,,,12.085,24,372,,
12.594,112,402,,,12.586,27,374,,
13.098,141,417,,,13.088,26,373,,
13.599,128,410,,,13.591,21,371,,
14.102,113,403,,,14.094,20,370,,
14.607,79,386,,,14.599,21,371,,
15.111,83,388,,,15.102,781,751,,
15.615,81,387,,,15.607,789,755,,
16.117,85,389,,,16.109,790,755,,
16.619,86,389,,,16.61,789,755,,
17.122,86,389,,,17.111,789,755,,
17.626,79,386,,,17.613,789,755,,
18.13,75,384,,,18.117,789,755,,
18.633,87,390,,,18.62,788,754,,
19.136,89,391,,,19.124,778,749,,
19.64,86,389,,,19.628,776,748,,
20.142,80,386,,,20.129,771,746,,
20.643,81,387,,,20.631,728,724,,
21.144,94,393,,,21.133,708,714,,
21.648,90,391,,,21.636,422,571,,
,,,,,22.139,262,491,,
,,,,,22.644,25,373,,
,,,,,23.145,54,387,,
,,,,,23.646,33,377,,
,,,,,24.149,33,377,,
,,,,,24.653,33,377,,
,,,,,25.157,33,377,,
,,,,,25.661,38,379,,
,,,,,26.166,40,380,,
,,,,,26.67,39,380,,
,,,,,27.173,41,381,,
,,,,,27.675,45,383,,
,,,,,28.179,47,384,,
,,,,,28.682,51,386,,
,,,,,29.186,783,752,,
,,,,,29.688,792,756,,
,,,,,30.191,791,756,,
,,,,,30.696,791,756,,
,,,,,31.197,791,756,,
,,,,,31.7,790,755,,
,,,,,32.201,790,755,,
,,,,,32.703,790,755,,
,,,,,33.205,789,755,,
,,,,,33.708,789,755,,
,,,,,34.209,790,755,,
,,,,,34.711,790,755,,
,,,,,35.213,789,755,,
,,,,,35.714,790,755,,
,,,,,36.216,789,755,,
,,,,,36.717,789,755,,
,,,,,37.218,789,755,,
,,,,,37.723,789,755,,
,,,,,38.227,789,755,,
,,,,,38.729,789,755,,
,,,,,39.233,789,755,,
,,,,,39.738,746,733,,
,,,,,40.243,720,720,,
,,,,,40.746,710,715,,
,,,,,41.249,555,638,,
,,,,,41.754,238,479,,
,,,,,42.258,272,496,,
,,,,,42.762,510,615,,
,,,,,43.263,469,595,,
,,,,,43.767,282,501,,
,,,,,44.271,134,427,,
,,,,,44.775,222,471,,
,,,,,45.279,229,475,,
,,,,,45.783,308,514,,
,,,,,46.29,652,686,,
,,,,,46.792,731,726,,
,,,,,47.296,265,493,,
,,,,,47.799,202,461,,
,,,,,48.303,221,471,,
,,,,,48.807,68,394,,
,,,,,49.311,10,365,,
,,,,,49.814,9,365,,
,,,,,50.319,23,372,,
,,,,,50.823,27,374,,
,,,,,51.327,26,373,,
,,,,,51.829,30,375,,
,,,,,52.333,81,401,,
,,,,,52.836,95,408,,
,,,,,53.339,122,421,,
,,,,,53.841,67,394,,
,,,,,54.344,68,394,,
,,,,,54.847,69,395,,
,,,,,55.35,73,397,,
,,,,,55.854,72,396,,
,,,,,56.356,76,398,,
,,,,,56.859,85,403,,
,,,,,57.364,97,409,,
,,,,,57.865,99,410,,
