Set 0,16h54m6s,"Conc. KIO3, M","Conc. NAHSO4, M"," ",,,,,,Time,Time,Time,Time,Time,Time
,,,,,,,,,,1.826,342,1.822,324,1.821,94
,,,,,,,,,,1.843,340,1.838,324,1.839,90
,,,,,,,,,,1.858,340,1.854,322,1.839,86
,,,,,,,,,,1.876,340,1.872,322,1.839,86
,,,,,,,,,,1.893,340,1.888,322,1.839,82
,,,,,,,,,,1.909,340,1.905,320,1.839,80
,,,,,,,,,,1.926,340,1.92,318,1.839,78
,,,,,,,,,,1.942,338,1.938,318,1.839,76
,,,,,,,,,,1.959,338,1.955,316,1.839,74
,,,,,,,,,,1.976,338,1.971,316,1.839,72
,,,,,,,,,,1.991,336,1.989,314,1.839,70
,,,,,,,,,,2.009,332,2.005,312,1.839,70
,,,,,,,,,,2.025,330,2.022,310,1.839,70
,,,,,,,,,,2.043,324,2.039,304,1.839,68
,,,,,,,,,,2.059,318,2.054,300,1.839,66
,,,,,,,,,,2.075,316,2.071,296,1.839,64
,,,,,,,,,,2.092,308,2.088,296,1.839,64
,,,,,,,,,,2.109,300,2.104,294,1.839,60
,,,,,,,,,,2.125,286,2.121,292,1.839,60
,,,,,,,,,,2.143,278,2.137,286,1.839,56
,,,,,,,,,,2.159,268,2.154,280,1.839,56
,,,,,,,,,,2.176,258,2.172,266,1.839,52
,,,,,,,,,,2.192,248,2.188,254,1.839,50
,,,,,,,,,,2.209,238,2.205,236,1.839,46
,,,,,,,,,,2.226,228,2.221,222,1.839,44
,,,,,,,,,,2.242,216,2.238,206,1.839,40
,,,,,,,,,,2.26,208,2.255,194,1.839,40
,,,,,,,,,,2.276,200,2.271,180,1.839,38
,,,,,,,,,,2.292,194,2.288,166,1.839,40
,,,,,,,,,,2.31,184,2.304,156,1.839,42
,,,,,,,,,,2.326,178,2.321,148,1.839,46
,,,,,,,,,,2.343,174,2.337,142,1.839,48
,,,,,,,,,,2.359,168,2.355,136,1.839,52
,,,,,,,,,,2.376,164,2.371,132,1.839,56
,,,,,,,,,,2.392,160,2.388,128,1.839,62
,,,,,,,,,,2.409,158,2.405,122,1.839,72
,,,,,,,,,,2.426,154,2.422,116,1.839,82
,,,,,,,,,,2.442,152,2.438,112,1.839,96
,,,,,,,,,,2.459,148,2.454,110,1.839,118
,,,,,,,,,,2.475,146,2.472,106,1.839,160
,,,,,,,,,,2.491,146,2.489,102,1.839,224
,,,,,,,,,,2.508,142,2.505,98,1.839,274
,,,,,,,,,,2.526,140,2.521,98,1.839,294
,,,,,,,,,,2.542,138,2.539,94,1.839,304
,,,,,,,,,,2.558,138,2.555,92,1.839,312
,,,,,,,,,,2.575,138,2.571,88,1.839,318
,,,,,,,,,,2.591,136,2.571,86,1.839,322
,,,,,,,,,,2.609,134,2.571,84,1.839,326
,,,,,,,,,,2.626,136,2.571,80,1.839,328
,,,,,,,,,,2.643,134,2.571,78,1.839,330
,,,,,,,,,,2.659,134,2.571,74,1.839,330
,,,,,,,,,,2.675,132,2.571,72,1.839,332
,,,,,,,,,,2.692,132,2.571,70,1.839,334
,,,,,,,,,,2.708,132,2.571,70,1.839,336
,,,,,,,,,,2.726,130,2.571,68,1.839,336
,,,,,,,,,,2.743,128,2.571,68,1.839,336
,,,,,,,,,,2.759,126,2.571,70,1.839,338
,,,,,,,,,,2.776,126,2.571,70,1.839,338
,,,,,,,,,,2.792,126,2.571,72,1.839,338
,,,,,,,,,,2.809,126,2.571,74,1.839,338
,,,,,,,,,,2.825,124,2.571,82,1.839,338
,,,,,,,,,,2.843,124,2.571,92,1.839,338
,,,,,,,,,,2.859,124,2.571,100,1.839,338
,,,,,,,,,,2.876,122,2.571,114,1.839,338
,,,,,,,,,,2.892,122,2.571,140,1.839,338
,,,,,,,,,,2.909,120,2.571,216,1.839,338
,,,,,,,,,,2.926,120,2.571,276,1.839,338
,,,,,,,,,,2.942,118,2.571,292,1.839,338
,,,,,,,,,,2.959,118,2.571,302,1.839,338
,,,,,,,,,,2.975,118,2.571,310,1.839,338
,,,,,,,,,,2.992,118,2.571,312,1.839,338
,,,,,,,,,,3.009,118,2.571,316,1.839,338
,,,,,,,,,,3.025,116,2.571,320,1.839,338
,,,,,,,,,,3.042,116,2.571,322,1.839,340
,,,,,,,,,,3.059,118,2.571,324,1.839,340
,,,,,,,,,,3.075,118,2.571,326,1.839,340
,,,,,,,,,,3.092,116,2.571,328,1.839,340
,,,,,,,,,,3.108,116,2.571,328,1.839,340
,,,,,,,,,,3.125,114,2.571,330,1.839,340
,,,,,,,,,,3.143,114,2.571,330,1.839,340
,,,,,,,,,,3.159,114,2.571,332,1.839,340
,,,,,,,,,,3.177,114,2.571,330,1.839,340
,,,,,,,,,,3.193,110,2.571,330,1.839,340
,,,,,,,,,,3.209,110,2.571,332,1.839,340
,,,,,,,,,,3.226,110,2.571,332,1.839,342
,,,,,,,,,,3.243,110,2.571,332,1.839,342
,,,,,,,,,,3.259,110,2.571,332,1.839,342
,,,,,,,,,,3.277,110,2.571,332,1.839,344
,,,,,,,,,,3.293,110,2.571,332,1.839,342
,,,,,,,,,,3.308,110,2.571,334,1.839,342
,,,,,,,,,,3.326,110,2.571,334,1.839,344
,,,,,,,,,,3.343,108,2.571,336,1.839,342
,,,,,,,,,,3.359,108,2.571,336,1.839,344
,,,,,,,,,,3.376,108,2.571,338,1.839,344
,,,,,,,,,,3.392,106,2.571,338,1.839,344
