Calibration,1,17h12m6s," "," "
"Time, s",Light,Threshold,,
0.503,-50,354,,
1.005,756,757,,
1.52,758,758,,
2.035,758,758,,
2.551,755,756,,
3.051,742,750,,
3.551,740,749,,
4.055,739,748,,
4.559,739,748,,
5.059,739,748,,
5.56,736,747,,
6.062,734,746,,
6.562,734,746,,
7.066,734,746,,
7.582,734,746,,
8.101,734,746,,
8.619,738,748,,
9.119,739,748,,
9.635,740,749,,
10.135,742,750,,
10.651,743,750,,
11.151,743,750,,
11.652,743,750,,
12.167,742,750,,
12.682,740,749,,
13.183,740,749,,
13.683,739,748,,
14.2,737,747,,
14.72,731,744,,
15.235,732,745,,
15.751,732,745,,
16.266,733,745,,
16.766,733,745,,
17.267,735,746,,
17.772,731,744,,
18.285,735,746,,
18.786,735,746,,
19.287,736,747,,
19.787,737,747,,
20.288,738,748,,
20.791,740,749,,
21.31,739,748,,
21.83,739,748,,
22.331,738,748,,
22.831,738,748,,
23.331,738,748,,
23.831,737,747,,
24.332,738,748,,
24.834,737,747,,
25.334,738,748,,
25.836,737,747,,
26.339,738,748,,
26.854,738,748,,
27.356,738,748,,
27.856,738,748,,
28.358,738,748,,
28.858,738,748,,
29.361,738,748,,
29.863,739,748,,
30.363,738,748,,
30.866,738,748,,
31.367,736,747,,
31.868,734,746,,
32.372,735,746,,
32.887,738,748,,
33.388,738,748,,
33.903,736,747,,
34.419,736,747,,
34.938,737,747,,
35.456,738,748,,
35.958,738,748,,
36.461,737,747,,
36.961,738,748,,
37.463,738,748,,
37.965,738,748,,
38.465,738,748,,
38.981,738,748,,
39.484,738,748,,
39.985,738,748,,
40.5,736,747,,
41.003,738,748,,
41.503,738,748,,
42.005,738,748,,
42.506,738,748,,
43.012,736,747,,
43.527,737,747,,
44.031,738,748,,
44.532,736,747,,
45.032,732,745,,
45.536,732,745,,
46.037,733,745,,
46.537,734,746,,
47.037,736,747,,
47.538,736,747,,
48.039,736,747,,
48.539,736,747,,
49.055,736,747,,
49.556,736,747,,
50.061,735,746,,
50.563,736,747,,
51.08,736,747,,
51.601,738,748,,
52.102,738,748,,
52.604,739,748,,
53.104,738,748,,
53.604,739,748,,
54.104,739,748,,
54.605,739,748,,
55.12,739,748,,
55.62,739,748,,
56.124,739,748,,
56.639,739,748,,
57.14,739,748,,
57.641,738,748,,
58.143,738,748,,
58.658,737,747,,
59.158,737,747,,
59.661,736,747,,
60.161,736,747,,
60.676,736,747,,
61.177,736,747,,
61.696,735,746,,
62.215,736,747,,
62.715,736,747,,
63.215,736,747,,
63.715,736,747,,
64.23,736,747,,
64.745,736,747,,
65.247,738,748,,
65.762,736,747,,
66.263,736,747,,
66.763,736,747,,
67.264,735,746,,
67.764,735,746,,
68.279,735,746,,
68.779,734,746,,
69.279,735,746,,
69.797,735,746,,
70.317,736,747,,
70.817,736,747,,
71.317,735,746,,
71.817,735,746,,
72.318,734,746,,
72.833,732,745,,
73.333,735,746,,
73.849,735,746,,
74.364,733,745,,
74.88,735,746,,
75.398,736,747,,
75.916,735,746,,
76.416,735,746,,
76.917,738,748,,
77.433,735,746,,
77.933,735,746,,
78.448,735,746,,
78.963,734,746,,
79.464,734,746,,
79.979,735,746,,
80.48,735,746,,
80.98,735,746,,
81.499,734,746,,
82.019,735,746,,
82.534,734,746,,
83.034,734,746,,
83.536,731,744,,
84.036,730,744,,
84.551,730,744,,
85.052,728,743,,
85.567,723,740,,
86.068,719,738,,
86.569,715,736,,
87.07,706,732,,
87.571,687,722,,
88.071,676,717,,
88.572,667,712,,
89.073,662,710,,
89.577,659,708,,
90.079,659,708,,
90.584,658,708,,
91.088,658,708,,
91.603,659,708,,
92.107,657,707,,
92.626,657,707,,
93.144,656,707,,
93.645,658,708,,
94.16,658,708,,
94.675,657,707,,
95.191,656,707,,
95.691,654,706,,
96.206,655,706,,
96.706,656,707,,
97.224,656,707,,
97.743,657,707,,
98.258,658,708,,
98.774,653,705,,
99.274,654,706,,
99.775,657,707,,
100.276,657,707,,
100.792,656,707,,
101.306,655,706,,
101.807,653,705,,
102.326,652,705,,
102.828,653,705,,
103.345,652,705,,
103.846,652,705,,
104.348,650,704,,
104.848,652,705,,
105.354,652,705,,
105.869,650,704,,
106.385,650,704,,
106.885,651,704,,
107.386,651,704,,
107.887,650,704,,
108.403,651,704,,
108.903,651,704,,
109.418,652,705,,
109.919,653,705,,
110.419,656,707,,
110.921,659,708,,
111.426,660,709,,
111.943,661,709,,
112.445,662,710,,
112.963,660,709,,
113.479,659,708,,
113.994,659,708,,
114.509,660,709,,
115.009,661,709,,
115.525,661,709,,
116.025,661,709,,
116.543,662,710,,
117.063,663,710,,
117.563,663,710,,
118.063,662,710,,
118.564,662,710,,
119.08,661,709,,
119.58,661,709,,
120.08,661,709,,
120.581,660,709,,
121.081,660,709,,
121.596,661,709,,
122.097,661,709,,
122.598,661,709,,
123.104,662,710,,
123.61,661,709,,
124.115,660,709,,
