Calibration,1,17h49m27s," "," "
"Time, s",Light,Threshold,,
0.522,707,707,,
1.022,-50,328,,
1.522,707,707,,
2.038,709,708,,
2.538,707,707,,
3.039,694,700,,
3.554,692,699,,
4.055,692,699,,
4.57,692,699,,
5.071,692,699,,
5.572,692,699,,
6.087,693,700,,
6.587,692,699,,
7.087,692,699,,
7.588,692,699,,
8.088,694,700,,
8.607,694,700,,
9.126,694,700,,
9.641,695,701,,
10.157,693,700,,
10.672,693,700,,
11.188,695,701,,
11.694,694,700,,
12.201,695,701,,
12.709,695,701,,
13.212,693,700,,
13.718,696,701,,
14.22,694,700,,
14.728,695,701,,
15.228,694,700,,
15.733,694,700,,
16.234,695,701,,
16.753,693,700,,
17.257,694,700,,
17.761,695,701,,
18.283,693,700,,
18.794,693,700,,
19.307,694,700,,
19.81,693,700,,
20.317,694,700,,
20.822,695,701,,
21.324,693,700,,
21.828,693,700,,
22.334,693,700,,
22.836,694,700,,
23.336,693,700,,
23.836,695,701,,
24.34,695,701,,
24.848,693,700,,
25.352,694,700,,
25.86,693,700,,
26.366,695,701,,
26.87,693,700,,
27.376,695,701,,
27.879,694,700,,
28.383,694,700,,
28.886,695,701,,
29.386,695,701,,
29.887,695,701,,
30.388,694,700,,
30.903,693,700,,
31.419,694,700,,
31.919,693,700,,
32.42,693,700,,
32.926,695,701,,
33.427,693,700,,
33.932,693,700,,
34.434,693,700,,
34.937,693,700,,
35.439,693,700,,
35.942,694,700,,
36.445,693,700,,
36.95,693,700,,
37.458,693,700,,
37.962,695,701,,
38.466,693,700,,
38.968,693,700,,
39.468,693,700,,
39.968,695,701,,
40.471,694,700,,
40.986,694,700,,
41.491,693,700,,
42.002,693,700,,
42.522,693,700,,
43.022,695,701,,
43.523,693,700,,
44.023,693,700,,
44.523,693,700,,
45.024,693,700,,
45.525,693,700,,
46.028,694,700,,
46.541,693,700,,
47.05,695,701,,
47.554,693,700,,
48.059,693,700,,
48.566,693,700,,
49.072,695,701,,
49.577,694,700,,
50.085,692,699,,
50.586,693,700,,
51.086,693,700,,
51.587,694,700,,
52.087,694,700,,
52.587,692,699,,
53.088,693,700,,
53.591,692,699,,
54.097,694,700,,
54.613,694,700,,
55.128,694,700,,
55.638,693,700,,
56.141,693,700,,
56.649,693,700,,
57.151,692,699,,
57.657,694,700,,
58.158,694,700,,
58.662,692,699,,
59.167,692,699,,
59.668,692,699,,
60.168,692,699,,
60.683,693,700,,
61.184,694,700,,
61.684,692,699,,
62.203,692,699,,
62.721,693,700,,
63.221,692,699,,
63.722,694,700,,
64.222,694,700,,
64.723,692,699,,
65.223,693,700,,
65.723,692,699,,
66.223,694,700,,
66.739,692,699,,
67.239,693,700,,
67.742,692,699,,
68.242,692,699,,
68.757,692,699,,
69.261,692,699,,
69.765,693,700,,
70.27,694,700,,
70.774,692,699,,
71.276,692,699,,
71.782,693,700,,
72.288,694,700,,
72.79,692,699,,
73.293,692,699,,
73.797,693,700,,
74.302,692,699,,
74.803,693,700,,
75.318,693,700,,
75.819,692,699,,
76.319,694,700,,
76.82,692,699,,
77.32,694,700,,
77.821,693,700,,
78.324,693,700,,
78.828,693,700,,
79.333,693,700,,
79.837,692,699,,
80.344,693,700,,
80.847,694,700,,
81.353,694,700,,
81.859,694,700,,
82.36,693,700,,
82.864,692,699,,
83.368,692,699,,
83.868,693,700,,
84.383,692,699,,
84.884,693,700,,
85.403,691,699,,
85.921,690,698,,
86.437,691,699,,
86.953,691,699,,
87.456,688,697,,
87.957,687,697,,
88.473,685,696,,
88.973,682,694,,
89.479,679,693,,
89.981,675,691,,
90.487,672,689,,
90.993,666,686,,
91.497,656,681,,
92.004,646,676,,
92.505,632,669,,
93.01,617,662,,
93.515,603,655,,
94.017,592,649,,
94.518,586,646,,
95.018,582,644,,
95.518,579,643,,
96.034,581,644,,
96.534,580,643,,
97.035,580,643,,
97.537,578,642,,
98.043,578,642,,
98.549,578,642,,
99.052,578,642,,
99.56,580,643,,
100.061,578,642,,
100.58,578,642,,
101.101,578,642,,
101.603,578,642,,
102.107,579,643,,
102.607,577,642,,
103.108,578,642,,
103.61,578,642,,
104.115,577,642,,
104.619,578,642,,
105.12,578,642,,
105.621,579,643,,
106.136,578,642,,
106.636,577,642,,
107.136,577,642,,
107.652,579,643,,
108.152,579,643,,
108.652,577,642,,
109.167,577,642,,
109.668,577,642,,
110.168,577,642,,
110.668,579,643,,
111.168,577,642,,
111.67,577,642,,
112.171,577,642,,
112.672,577,642,,
113.18,579,643,,
113.684,579,643,,
114.187,579,643,,
Set 0,17h54m11s,"Conc. KIO3, M","Conc. NAHSO4, M"," "
Trial,"Time, s",,,
1,0.0,,,
2,89.292,,,
3,89.292,,,
4,0.0,,,
5,0.0,,,
6,99.74,,,
7,99.74,,,
8,93.659,,,
9,93.659,,,
10,0.0,,,
11,0.0,,,
12,97.904,,,
13,97.904,,,
14,0.0,,,
15,0.0,,,
16,0.0,,,
17,0.0,,,
18,96.171,,,
19,96.171,,,
20,2.338,,,
21,0.0,,,
22,0.0,,,
23,0.0,,,
24,0.0,,,
25,0.0,,,
26,94.973,,,
27,94.973,,,
28,0.001,,,
29,0.0,,,
30,90.022,,,
31,90.022,,,
