Calibration,1,16h42m51s," "," "
"Time, s",Light,Threshold,,
0.508,140,141,,
1.012,176,159,,
1.516,196,169,,
2.021,200,171,,
2.525,216,179,,
3.03,220,181,,
3.534,220,181,,
4.038,230,186,,
4.542,150,146,,
5.046,100,121,,
5.551,120,131,,
6.056,236,189,,
6.558,242,192,,
7.065,224,183,,
7.569,206,174,,
8.073,106,124,,
8.578,220,181,,
9.082,264,203,,
9.586,126,134,,
10.09,8,75,,
10.595,12,77,,
11.099,16,79,,
11.603,6,74,,
12.107,12,77,,
12.611,14,78,,
13.115,20,81,,
13.617,48,95,,
14.121,48,95,,
14.625,50,96,,
15.129,54,98,,
15.634,64,103,,
16.138,72,107,,
16.651,74,108,,
17.155,76,109,,
