Calibration,1,18h51m16s," "," "
"Time, s",Light,Threshold,,
0.501,156,155,,
1.009,178,166,,
1.51,218,186,,
2.017,216,185,,
2.521,226,190,,
3.023,226,190,,
3.529,216,185,,
4.029,220,187,,
4.529,220,187,,
5.045,222,188,,
5.56,214,184,,
6.061,222,188,,
6.561,136,145,,
7.061,136,145,,
7.562,144,149,,
8.065,206,180,,
8.566,210,182,,
9.081,678,416,,
9.581,736,445,,
10.081,402,278,,
10.583,188,171,,
11.088,142,148,,
11.594,102,128,,
12.102,76,115,,
12.606,64,109,,
13.109,62,108,,
13.613,62,108,,
14.117,64,109,,
14.623,62,108,,
15.126,288,221,,
15.641,772,463,,
16.141,776,465,,
16.641,772,463,,
17.142,770,462,,
17.647,770,462,,
18.166,794,474,,
18.684,782,468,,
19.186,782,468,,
19.692,736,445,,
20.198,802,478,,
20.703,762,458,,
21.205,750,452,,
21.711,464,309,,
22.217,258,206,,
22.723,232,193,,
23.229,146,150,,
23.729,146,150,,
24.229,146,150,,
24.729,146,150,,
25.229,146,150,,
25.73,230,192,,
26.23,230,192,,
