Calibration,1,15h34m27s," "," ",Calibration,2,15h35m10s," "," "
"Time, s",Light,Threshold,,,"Time, s",Light,Threshold,,
0.309,783,784,,,0.305,778,364,,
0.811,805,795,,,0.825,784,367,,
1.314,822,803,,,1.326,792,371,,
1.819,819,802,,,1.826,804,377,,
2.323,808,796,,,2.342,815,382,,
2.845,778,781,,,2.844,817,383,,
3.353,745,765,,,3.344,817,383,,
3.856,739,762,,,3.845,815,382,,
4.357,715,750,,,4.346,815,382,,
4.867,704,744,,,4.846,816,383,,
5.375,695,740,,,5.349,811,380,,
5.875,684,734,,,5.85,748,349,,
6.376,682,733,,,6.352,677,313,,
6.878,680,732,,,6.856,658,304,,
7.381,666,725,,,,,,,
7.885,650,717,,,,,,,
8.387,646,715,,,,,,,
8.89,644,714,,,,,,,
9.391,646,715,,,,,,,
9.895,564,674,,,,,,,
10.397,489,637,,,,,,,
10.9,482,633,,,,,,,
11.407,482,633,,,,,,,
11.915,481,633,,,,,,,
12.424,481,633,,,,,,,
12.926,481,633,,,,,,,
13.432,481,633,,,,,,,
13.935,481,633,,,,,,,
14.438,481,633,,,,,,,
