Calibration,1,23h6m8s," "," "
"Time, s",Light,Threshold,,
0.557,452,458,,
1.061,472,468,,
1.565,474,469,,
2.068,502,483,,
2.571,484,474,,
3.073,480,472,,
3.577,482,473,,
4.079,476,470,,
4.581,484,474,,
5.083,82,273,,
5.584,58,261,,
6.085,52,258,,
6.587,60,262,,
7.089,74,269,,
7.593,78,271,,
8.097,108,286,,
8.6,120,292,,
9.105,124,294,,
9.607,124,294,,
10.108,122,293,,
10.611,118,291,,
11.114,122,293,,
11.616,122,293,,
12.12,122,293,,
12.623,120,292,,
13.127,122,293,,
13.629,120,292,,
