Calibration,1,15h30m17s," "," "
"Time, s",Light,Threshold,,
0.307,789,788,,
0.815,790,789,,
1.322,811,799,,
1.826,811,799,,
2.333,819,803,,
2.836,818,803,,
3.342,817,802,,
3.848,803,795,,
4.352,778,783,,
4.858,753,770,,
5.361,734,761,,
5.876,730,759,,
6.393,722,755,,
6.912,714,751,,
7.416,734,761,,
7.923,669,728,,
8.426,661,724,,
8.934,653,720,,
9.436,660,724,,
9.942,818,803,,
10.446,821,804,,
10.954,797,792,,
11.459,780,784,,
11.96,742,765,,
12.461,673,730,,
12.961,673,730,,
13.461,668,728,,
13.961,668,728,,
14.465,675,731,,
14.969,756,772,,
15.473,800,794,,
15.979,755,771,,
16.487,736,762,,
16.991,671,729,,
17.499,658,723,,
18.007,651,719,,
18.51,648,718,,
19.014,647,717,,
19.526,646,717,,
20.029,648,718,,
20.53,646,717,,
21.032,645,716,,
21.545,645,716,,
22.053,651,719,,
22.559,644,716,,
23.06,643,715,,
23.575,648,718,,
24.075,628,708,,
24.576,623,705,,
25.076,621,704,,
25.586,583,685,,
26.092,567,677,,
26.596,488,638,,
27.103,479,633,,
27.61,480,634,,
28.121,481,634,,
28.624,479,633,,
29.127,479,633,,
29.633,479,633,,
30.137,479,633,,
30.64,479,633,,
31.144,479,633,,
31.646,479,633,,
32.151,479,633,,
