Calibration,1,15h25m40s," "," "
"Time, s",Light,Threshold,,
0.319,812,810,,
0.839,821,815,,
1.343,820,814,,
1.843,822,815,,
2.343,821,815,,
2.858,805,807,,
3.363,800,804,,
3.877,786,797,,
4.378,747,778,,
4.88,719,764,,
5.395,712,760,,
5.898,710,759,,
6.401,715,762,,
6.904,716,762,,
7.408,719,764,,
7.912,719,764,,
8.415,721,765,,
8.917,718,763,,
9.419,711,760,,
9.919,710,759,,
10.434,713,761,,
10.938,710,759,,
11.438,705,757,,
11.941,685,747,,
12.442,668,738,,
12.944,668,738,,
13.444,675,742,,
13.954,683,746,,
14.473,663,736,,
14.977,660,734,,
15.483,656,732,,
15.984,654,731,,
16.485,652,730,,
16.987,651,730,,
17.487,651,730,,
17.988,651,730,,
18.489,650,729,,
18.995,651,730,,
19.506,652,730,,
20.006,652,730,,
20.512,651,730,,
21.027,652,730,,
21.532,653,731,,
22.044,653,731,,
22.549,653,731,,
23.05,652,730,,
23.556,653,731,,
24.059,653,731,,
24.561,654,731,,
25.063,648,728,,
25.564,647,728,,
26.067,647,728,,
26.567,647,728,,
27.075,646,727,,
27.578,648,728,,
28.078,648,728,,
28.582,637,723,,
29.083,647,728,,
29.598,635,722,,
30.117,622,715,,
30.618,620,714,,
31.118,618,713,,
31.619,619,714,,
32.121,619,714,,
32.622,589,699,,
33.122,529,669,,
33.623,489,649,,
34.128,481,645,,
34.629,478,643,,
35.135,477,643,,
35.639,477,643,,
36.143,478,643,,
36.643,478,643,,
37.146,477,643,,
37.648,478,643,,
