Calibration,1,16h32m1s," "," ",Calibration,2,16h44m1s," "," "
"Time, s",Light,Threshold,,,"Time, s",Light,Threshold,,
0.504,167,167,,,0.506,197,73,,
1.008,171,169,,,1.014,-50,-50,,
1.52,172,170,,,1.52,-50,-50,,
2.027,172,170,,,2.03,200,75,,
2.542,175,171,,,2.53,200,75,,
3.053,175,171,,,3.03,200,75,,
3.554,176,172,,,3.534,-50,-50,,
4.059,176,172,,,4.041,-50,-50,,
4.577,176,172,,,4.546,-50,-50,,
5.082,176,172,,,5.05,200,75,,
5.589,177,172,,,5.556,200,75,,
6.11,177,172,,,6.064,-50,-50,,
6.617,176,172,,,6.572,-50,-50,,
7.121,176,172,,,7.077,-50,-50,,
7.628,176,172,,,7.583,-50,-50,,
8.13,176,172,,,8.095,-50,-50,,
8.636,176,172,,,8.595,-50,-50,,
9.138,177,172,,,9.097,200,75,,
9.641,177,172,,,9.601,192,71,,
10.141,176,172,,,10.117,212,81,,
10.642,176,172,,,10.632,196,73,,
11.147,176,172,,,11.136,197,73,,
11.651,177,172,,,11.642,-50,-50,,
12.156,177,172,,,12.148,200,75,,
12.662,177,172,,,12.656,200,75,,
13.166,177,172,,,13.161,-50,-50,,
13.674,177,172,,,13.663,-50,-50,,
4,0.0,172,,,,,,,
5,0.0,171,,,,,,,
6,0.0,171,,,,,,,
7,0.0,171,,,,,,,
8,0.0,169,,,,,,,
9,0.0,167,,,,,,,
10,0.0,170,,,,,,,
11,0.003,173,,,,,,,
12,0.001,168,,,,,,,
13,0.001,167,,,,,,,
19.229,167,167,,,,,,,
19.735,167,167,,,,,,,
20.243,166,167,,,,,,,
20.746,166,167,,,,,,,
21.254,166,167,,,,,,,
21.757,166,167,,,,,,,
22.257,162,165,,,,,,,
22.758,176,172,,,,,,,
23.258,427,297,,,,,,,
23.761,555,361,,,,,,,
24.265,625,396,,,,,,,
24.773,729,448,,,,,,,
25.28,737,452,,,,,,,
25.786,760,464,,,,,,,
26.292,629,398,,,,,,,
26.798,573,370,,,,,,,
27.304,551,359,,,,,,,
27.807,749,458,,,,,,,
28.307,746,457,,,,,,,
28.817,754,461,,,,,,,
29.323,426,297,,,,,,,
29.831,318,243,,,,,,,
30.343,289,228,,,,,,,
30.858,301,234,,,,,,,
31.359,288,228,,,,,,,
31.862,386,277,,,,,,,
32.37,754,461,,,,,,,
32.878,767,467,,,,,,,
33.39,750,459,,,,,,,
33.898,760,464,,,,,,,
34.407,768,468,,,,,,,
34.909,755,461,,,,,,,
35.424,753,460,,,,,,,
35.924,761,464,,,,,,,
36.428,769,468,,,,,,,
36.943,766,467,,,,,,,
37.447,762,465,,,,,,,
37.951,762,465,,,,,,,
38.455,768,468,,,,,,,
38.958,760,464,,,,,,,
39.466,765,466,,,,,,,
39.972,764,466,,,,,,,
40.482,761,464,,,,,,,
40.986,748,458,,,,,,,
41.488,750,459,,,,,,,
41.998,744,456,,,,,,,
42.506,745,456,,,,,,,
43.012,692,430,,,,,,,
43.521,745,456,,,,,,,
44.028,766,467,,,,,,,
44.537,763,465,,,,,,,
45.041,767,467,,,,,,,
45.542,762,465,,,,,,,
46.048,764,466,,,,,,,
46.556,766,467,,,,,,,
47.064,768,468,,,,,,,
47.572,762,465,,,,,,,
48.073,762,465,,,,,,,
48.584,767,467,,,,,,,
49.088,757,462,,,,,,,
49.593,769,468,,,,,,,
50.104,766,467,,,,,,,
50.604,744,456,,,,,,,
51.104,740,454,,,,,,,
51.61,701,434,,,,,,,
52.118,737,452,,,,,,,
52.62,744,456,,,,,,,
53.125,735,451,,,,,,,
53.634,660,414,,,,,,,
54.138,760,464,,,,,,,
54.65,754,461,,,,,,,
55.155,752,460,,,,,,,
55.661,751,459,,,,,,,
56.167,744,456,,,,,,,
56.681,747,457,,,,,,,
57.183,741,454,,,,,,,
57.697,665,416,,,,,,,
58.21,646,407,,,,,,,
58.725,613,390,,,,,,,
59.245,595,381,,,,,,,
59.748,573,370,,,,,,,
60.252,608,388,,,,,,,
60.772,598,383,,,,,,,
61.279,562,365,,,,,,,
61.786,526,347,,,,,,,
62.295,452,310,,,,,,,
62.806,422,295,,,,,,,
63.314,530,349,,,,,,,
63.822,608,388,,,,,,,
64.33,607,387,,,,,,,
64.835,677,422,,,,,,,
65.339,646,407,,,,,,,
65.841,679,423,,,,,,,
66.349,657,412,,,,,,,
66.851,589,378,,,,,,,
67.357,576,372,,,,,,,
67.865,626,397,,,,,,,
68.368,663,415,,,,,,,
68.876,706,437,,,,,,,
69.382,701,434,,,,,,,
69.888,704,436,,,,,,,
70.391,715,441,,,,,,,
70.897,551,359,,,,,,,
71.403,523,345,,,,,,,
71.904,540,354,,,,,,,
72.411,590,379,,,,,,,
72.911,605,386,,,,,,,
73.416,589,378,,,,,,,
73.922,579,373,,,,,,,
74.43,590,379,,,,,,,
74.934,603,385,,,,,,,
75.438,599,383,,,,,,,
75.941,653,410,,,,,,,
76.441,676,422,,,,,,,
76.957,644,406,,,,,,,
77.457,603,385,,,,,,,
77.959,613,390,,,,,,,
78.472,519,343,,,,,,,
78.979,530,349,,,,,,,
79.491,594,381,,,,,,,
79.994,577,372,,,,,,,
80.506,558,363,,,,,,,
81.014,596,382,,,,,,,
81.522,595,381,,,,,,,
82.022,667,417,,,,,,,
82.526,703,435,,,,,,,
83.041,675,421,,,,,,,
83.549,647,407,,,,,,,
84.057,646,407,,,,,,,
84.572,451,309,,,,,,,
85.084,427,297,,,,,,,
85.592,542,355,,,,,,,
86.096,546,357,,,,,,,
86.603,504,336,,,,,,,
87.104,573,370,,,,,,,
87.611,616,392,,,,,,,
88.119,636,402,,,,,,,
88.627,619,393,,,,,,,
89.131,660,414,,,,,,,
89.638,561,364,,,,,,,
90.156,699,433,,,,,,,
90.669,741,454,,,,,,,
91.173,760,464,,,,,,,
91.676,770,469,,,,,,,
92.191,767,467,,,,,,,
92.691,768,468,,,,,,,
93.192,769,468,,,,,,,
93.707,773,470,,,,,,,
94.211,768,468,,,,,,,
94.726,766,467,,,,,,,
95.228,766,467,,,,,,,
95.743,768,468,,,,,,,
96.243,769,468,,,,,,,
96.744,770,469,,,,,,,
97.257,774,471,,,,,,,
97.758,774,471,,,,,,,
98.265,769,468,,,,,,,
98.777,766,467,,,,,,,
99.285,774,471,,,,,,,
99.792,768,468,,,,,,,
100.308,773,470,,,,,,,
100.809,774,471,,,,,,,
101.326,768,468,,,,,,,
101.843,772,470,,,,,,,
102.364,773,470,,,,,,,
102.867,772,470,,,,,,,
103.37,766,467,,,,,,,
103.878,773,470,,,,,,,
104.386,766,467,,,,,,,
104.891,761,464,,,,,,,
105.391,707,437,,,,,,,
105.898,630,399,,,,,,,
106.403,547,357,,,,,,,
106.909,551,359,,,,,,,
107.415,554,361,,,,,,,
107.919,475,321,,,,,,,
108.425,473,320,,,,,,,
108.932,440,304,,,,,,,
109.434,436,302,,,,,,,
109.936,475,321,,,,,,,
110.44,554,361,,,,,,,
110.942,555,361,,,,,,,
111.445,512,340,,,,,,,
111.951,530,349,,,,,,,
112.455,661,414,,,,,,,
112.956,641,404,,,,,,,
113.462,597,382,,,,,,,
113.97,595,381,,,,,,,
114.478,738,453,,,,,,,
114.982,701,434,,,,,,,
115.49,636,402,,,,,,,
115.992,663,415,,,,,,,
116.495,662,415,,,,,,,
116.996,539,353,,,,,,,
117.497,527,347,,,,,,,
117.997,539,353,,,,,,,
118.512,437,302,,,,,,,
119.017,381,274,,,,,,,
119.518,345,256,,,,,,,
120.022,310,239,,,,,,,
120.538,442,305,,,,,,,
121.04,574,371,,,,,,,
121.541,543,355,,,,,,,
122.042,599,383,,,,,,,
122.547,723,445,,,,,,,
123.05,592,380,,,,,,,
123.554,591,379,,,,,,,
124.06,612,390,,,,,,,
124.562,723,445,,,,,,,
125.07,737,452,,,,,,,
125.577,750,459,,,,,,,
126.085,610,389,,,,,,,
126.591,569,368,,,,,,,
127.107,545,356,,,,,,,
127.607,272,220,,,,,,,
128.107,238,203,,,,,,,
128.612,224,196,,,,,,,
129.116,211,189,,,,,,,
129.617,207,187,,,,,,,
130.121,274,221,,,,,,,
130.627,275,221,,,,,,,
131.135,276,222,,,,,,,
131.642,282,225,,,,,,,
132.154,234,201,,,,,,,
132.658,161,164,,,,,,,
133.172,155,161,,,,,,,
133.672,154,161,,,,,,,
134.173,154,161,,,,,,,
134.676,153,160,,,,,,,
135.185,152,160,,,,,,,
135.688,148,158,,,,,,,
136.194,255,211,,,,,,,
136.702,265,216,,,,,,,
137.213,274,221,,,,,,,
137.717,240,204,,,,,,,
138.222,741,454,,,,,,,
138.723,745,456,,,,,,,
139.223,747,457,,,,,,,
139.724,747,457,,,,,,,
140.227,757,462,,,,,,,
140.727,757,462,,,,,,,
141.233,748,458,,,,,,,
141.742,667,417,,,,,,,
142.254,559,363,,,,,,,
142.758,653,410,,,,,,,
143.263,747,457,,,,,,,
143.769,754,461,,,,,,,
144.272,739,453,,,,,,,
144.788,755,461,,,,,,,
145.301,760,464,,,,,,,
145.804,768,468,,,,,,,
146.317,767,467,,,,,,,
146.821,765,466,,,,,,,
147.322,767,467,,,,,,,
147.823,764,466,,,,,,,
148.325,765,466,,,,,,,
148.832,769,468,,,,,,,
149.337,768,468,,,,,,,
149.843,772,470,,,,,,,
150.347,766,467,,,,,,,
150.855,773,470,,,,,,,
151.359,768,468,,,,,,,
151.868,770,469,,,,,,,
152.372,772,470,,,,,,,
152.873,767,467,,,,,,,
153.373,767,467,,,,,,,
153.873,767,467,,,,,,,
154.373,766,467,,,,,,,
154.876,771,469,,,,,,,
155.385,765,466,,,,,,,
155.889,771,469,,,,,,,
156.396,768,468,,,,,,,
156.9,770,469,,,,,,,
157.406,771,469,,,,,,,
157.912,766,467,,,,,,,
158.42,768,468,,,,,,,
158.922,770,469,,,,,,,
159.427,770,469,,,,,,,
159.933,771,469,,,,,,,
160.439,773,470,,,,,,,
160.943,772,470,,,,,,,
161.455,771,469,,,,,,,
161.958,766,467,,,,,,,
162.466,773,470,,,,,,,
162.972,766,467,,,,,,,
163.472,771,469,,,,,,,
163.988,767,467,,,,,,,
164.489,772,470,,,,,,,
164.993,772,470,,,,,,,
165.496,765,466,,,,,,,
166.008,769,468,,,,,,,
166.514,767,467,,,,,,,
167.018,772,470,,,,,,,
167.521,766,467,,,,,,,
168.029,773,470,,,,,,,
168.537,768,468,,,,,,,
169.038,770,469,,,,,,,
169.553,772,470,,,,,,,
170.054,773,470,,,,,,,
170.573,772,470,,,,,,,
171.076,766,467,,,,,,,
171.595,771,469,,,,,,,
172.101,764,466,,,,,,,
172.605,770,469,,,,,,,
173.109,767,467,,,,,,,
173.616,766,467,,,,,,,
174.124,766,467,,,,,,,
174.632,771,469,,,,,,,
175.14,767,467,,,,,,,
175.641,768,468,,,,,,,
176.157,772,470,,,,,,,
176.657,772,470,,,,,,,
177.157,772,470,,,,,,,
177.658,772,470,,,,,,,
178.172,765,466,,,,,,,
178.679,766,467,,,,,,,
179.189,768,468,,,,,,,
179.697,772,470,,,,,,,
180.201,766,467,,,,,,,
180.701,766,467,,,,,,,
