Calibration,1,16h32m1s," "," ",Calibration,2,16h44m1s," "," "
181.21,773,470,,,,,,,
181.72,772,470,,,,,,,
182.224,772,470,,,,,,,
182.725,771,469,,,,,,,
183.228,766,467,,,,,,,
183.743,768,468,,,,,,,
184.246,772,470,,,,,,,
184.748,771,469,,,,,,,
185.254,765,466,,,,,,,
185.762,768,468,,,,,,,
186.266,768,468,,,,,,,
186.774,772,470,,,,,,,
187.286,770,469,,,,,,,
187.788,769,468,,,,,,,
188.289,769,468,,,,,,,
188.79,768,468,,,,,,,
189.294,769,468,,,,,,,
189.802,766,467,,,,,,,
190.308,772,470,,,,,,,
190.812,768,468,,,,,,,
191.318,768,468,,,,,,,
191.824,771,469,,,,,,,
192.328,765,466,,,,,,,
192.834,772,470,,,,,,,
193.335,772,470,,,,,,,
193.838,773,470,,,,,,,
194.338,767,467,,,,,,,
194.84,767,467,,,,,,,
195.342,769,468,,,,,,,
195.85,770,469,,,,,,,
196.351,770,469,,,,,,,
196.853,766,467,,,,,,,
197.357,772,470,,,,,,,
197.865,766,467,,,,,,,
198.367,766,467,,,,,,,
198.873,770,469,,,,,,,
199.376,766,467,,,,,,,
199.885,772,470,,,,,,,
200.396,770,469,,,,,,,
200.903,770,469,,,,,,,
201.405,766,467,,,,,,,
201.906,766,467,,,,,,,
202.412,772,470,,,,,,,
202.923,770,469,,,,,,,
203.428,770,469,,,,,,,
203.932,766,467,,,,,,,
204.434,767,467,,,,,,,
204.938,766,467,,,,,,,
205.439,766,467,,,,,,,
205.945,772,470,,,,,,,
206.448,772,470,,,,,,,
206.951,769,468,,,,,,,
207.454,767,467,,,,,,,
207.955,768,468,,,,,,,
208.458,769,468,,,,,,,
208.958,770,469,,,,,,,
209.463,771,469,,,,,,,
209.967,772,470,,,,,,,
210.475,768,468,,,,,,,
210.981,768,468,,,,,,,
211.484,771,469,,,,,,,
211.99,770,469,,,,,,,
212.496,772,470,,,,,,,
213.002,767,467,,,,,,,
213.503,766,467,,,,,,,
214.004,766,467,,,,,,,
214.523,772,470,,,,,,,
215.041,771,469,,,,,,,
215.557,767,467,,,,,,,
216.058,767,467,,,,,,,
216.564,771,469,,,,,,,
217.069,764,466,,,,,,,
217.575,771,469,,,,,,,
218.083,764,466,,,,,,,
218.587,770,469,,,,,,,
219.091,770,469,,,,,,,
219.599,770,469,,,,,,,
220.106,766,467,,,,,,,
220.607,767,467,,,,,,,
221.108,767,467,,,,,,,
221.609,769,468,,,,,,,
222.11,769,468,,,,,,,
222.617,765,466,,,,,,,
223.125,771,469,,,,,,,
223.637,768,468,,,,,,,
224.148,771,469,,,,,,,
224.656,766,467,,,,,,,
225.168,764,466,,,,,,,
225.671,765,466,,,,,,,
226.173,766,467,,,,,,,
226.675,772,470,,,,,,,
227.188,770,469,,,,,,,
227.702,772,470,,,,,,,
228.208,767,467,,,,,,,
228.718,766,467,,,,,,,
229.222,766,467,,,,,,,
229.73,768,468,,,,,,,
230.241,771,469,,,,,,,
230.746,766,467,,,,,,,
231.254,772,470,,,,,,,
231.758,767,467,,,,,,,
232.266,772,470,,,,,,,
232.772,771,469,,,,,,,
233.272,766,467,,,,,,,
233.777,772,470,,,,,,,
234.281,766,467,,,,,,,
234.793,770,469,,,,,,,
235.297,764,466,,,,,,,
235.809,765,466,,,,,,,
236.314,769,468,,,,,,,
236.82,770,469,,,,,,,
237.324,765,466,,,,,,,
237.828,772,470,,,,,,,
238.333,765,466,,,,,,,
238.839,770,469,,,,,,,
239.34,771,469,,,,,,,
239.847,765,466,,,,,,,
240.351,766,467,,,,,,,
240.859,765,466,,,,,,,
241.365,771,469,,,,,,,
241.87,767,467,,,,,,,
242.372,766,467,,,,,,,
242.872,768,468,,,,,,,
243.373,770,469,,,,,,,
243.873,770,469,,,,,,,
244.379,769,468,,,,,,,
244.885,766,467,,,,,,,
245.393,765,466,,,,,,,
245.896,765,466,,,,,,,
246.406,768,468,,,,,,,
246.912,765,466,,,,,,,
247.416,771,469,,,,,,,
247.922,771,469,,,,,,,
248.422,771,469,,,,,,,
248.922,771,469,,,,,,,
249.438,770,469,,,,,,,
249.938,770,469,,,,,,,
250.442,769,468,,,,,,,
250.946,764,466,,,,,,,
251.453,771,469,,,,,,,
251.962,768,468,,,,,,,
252.467,770,469,,,,,,,
252.977,771,469,,,,,,,
253.481,765,466,,,,,,,
253.983,766,467,,,,,,,
254.484,765,466,,,,,,,
254.985,771,469,,,,,,,
255.487,772,470,,,,,,,
255.988,772,470,,,,,,,
256.504,765,466,,,,,,,
257.023,766,467,,,,,,,
257.528,766,467,,,,,,,
258.033,771,469,,,,,,,
258.553,772,470,,,,,,,
259.059,766,467,,,,,,,
259.563,771,469,,,,,,,
260.069,770,469,,,,,,,
260.57,768,468,,,,,,,
261.077,767,467,,,,,,,
261.581,772,470,,,,,,,
262.088,771,469,,,,,,,
262.591,772,470,,,,,,,
263.092,772,470,,,,,,,
263.592,772,470,,,,,,,
264.1,770,469,,,,,,,
264.603,769,468,,,,,,,
265.109,766,467,,,,,,,
265.615,772,470,,,,,,,
266.115,771,469,,,,,,,
266.622,765,466,,,,,,,
267.128,767,467,,,,,,,
267.629,766,467,,,,,,,
268.13,769,468,,,,,,,
268.631,769,468,,,,,,,
269.132,770,469,,,,,,,
269.633,771,469,,,,,,,
270.133,771,469,,,,,,,
270.634,765,466,,,,,,,
271.134,766,467,,,,,,,
271.634,771,469,,,,,,,
272.135,770,469,,,,,,,
272.643,772,470,,,,,,,
273.143,772,470,,,,,,,
273.653,769,468,,,,,,,
274.156,771,469,,,,,,,
274.668,773,470,,,,,,,
275.176,769,468,,,,,,,
275.678,770,469,,,,,,,
276.184,770,469,,,,,,,
276.687,766,467,,,,,,,
277.191,772,470,,,,,,,
277.691,771,469,,,,,,,
278.199,765,466,,,,,,,
278.708,767,467,,,,,,,
279.208,767,467,,,,,,,
279.709,772,470,,,,,,,
280.209,766,467,,,,,,,
280.728,766,467,,,,,,,
281.25,765,466,,,,,,,
281.756,772,470,,,,,,,
282.262,766,467,,,,,,,
282.768,770,469,,,,,,,
283.276,765,466,,,,,,,
283.78,766,467,,,,,,,
284.28,772,470,,,,,,,
284.801,765,466,,,,,,,
285.307,773,470,,,,,,,
285.815,766,467,,,,,,,
286.317,770,469,,,,,,,
286.823,770,469,,,,,,,
287.331,767,467,,,,,,,
287.834,772,470,,,,,,,
288.341,771,469,,,,,,,
288.841,772,470,,,,,,,
289.357,772,470,,,,,,,
289.858,771,469,,,,,,,
290.362,771,469,,,,,,,
290.868,772,470,,,,,,,
291.374,766,467,,,,,,,
291.88,769,468,,,,,,,
292.388,765,466,,,,,,,
292.892,764,466,,,,,,,
293.397,771,469,,,,,,,
293.903,769,468,,,,,,,
294.407,770,469,,,,,,,
294.911,771,469,,,,,,,
295.422,771,469,,,,,,,
295.93,770,469,,,,,,,
296.436,769,468,,,,,,,
296.942,767,467,,,,,,,
297.445,772,470,,,,,,,
297.955,772,470,,,,,,,
298.461,769,468,,,,,,,
298.962,768,468,,,,,,,
299.464,769,468,,,,,,,
299.972,771,469,,,,,,,
300.476,766,467,,,,,,,
300.988,769,468,,,,,,,
301.493,770,469,,,,,,,
301.993,771,469,,,,,,,
302.493,772,470,,,,,,,
302.994,772,470,,,,,,,
303.498,767,467,,,,,,,
304.006,773,470,,,,,,,
304.514,772,470,,,,,,,
305.018,772,470,,,,,,,
305.526,768,468,,,,,,,
306.031,772,470,,,,,,,
306.537,766,467,,,,,,,
307.038,765,466,,,,,,,
307.538,765,466,,,,,,,
308.04,771,469,,,,,,,
308.542,772,470,,,,,,,
309.048,766,467,,,,,,,
309.556,771,469,,,,,,,
310.059,766,467,,,,,,,
310.565,764,466,,,,,,,
311.075,766,467,,,,,,,
311.583,769,468,,,,,,,
312.085,769,468,,,,,,,
312.588,763,465,,,,,,,
313.088,764,466,,,,,,,
313.588,766,467,,,,,,,
314.094,766,467,,,,,,,
314.595,771,469,,,,,,,
315.102,770,469,,,,,,,
315.605,769,468,,,,,,,
316.113,766,467,,,,,,,
316.617,772,470,,,,,,,
317.125,769,468,,,,,,,
317.633,770,469,,,,,,,
318.136,765,466,,,,,,,
318.638,765,466,,,,,,,
319.138,766,467,,,,,,,
319.638,766,467,,,,,,,
320.141,767,467,,,,,,,
320.643,771,469,,,,,,,
321.159,768,468,,,,,,,
321.662,765,466,,,,,,,
322.166,772,470,,,,,,,
322.67,771,469,,,,,,,
323.173,765,466,,,,,,,
323.679,770,469,,,,,,,
324.183,769,468,,,,,,,
324.689,766,467,,,,,,,
325.201,770,469,,,,,,,
325.704,770,469,,,,,,,
326.204,771,469,,,,,,,
326.704,772,470,,,,,,,
327.204,772,470,,,,,,,
327.723,772,470,,,,,,,
328.241,765,466,,,,,,,
328.741,764,466,,,,,,,
329.242,754,461,,,,,,,
329.743,750,459,,,,,,,
330.243,620,394,,,,,,,
330.744,639,403,,,,,,,
331.244,668,418,,,,,,,
331.749,671,419,,,,,,,
332.253,723,445,,,,,,,
332.759,730,449,,,,,,,
333.263,723,445,,,,,,,
333.767,318,243,,,,,,,
334.271,178,173,,,,,,,
334.773,139,153,,,,,,,
335.279,134,151,,,,,,,
335.783,132,150,,,,,,,
336.287,130,149,,,,,,,
336.79,130,149,,,,,,,
337.291,129,148,,,,,,,
337.807,128,148,,,,,,,
338.322,129,148,,,,,,,
338.829,129,148,,,,,,,
339.333,128,148,,,,,,,
339.84,128,148,,,,,,,
340.348,128,148,,,,,,,
340.856,161,164,,,,,,,
341.368,581,374,,,,,,,
341.872,724,446,,,,,,,
342.372,708,438,,,,,,,
342.872,700,434,,,,,,,
343.373,669,418,,,,,,,
343.876,714,441,,,,,,,
344.383,697,432,,,,,,,
344.89,577,372,,,,,,,
345.394,610,389,,,,,,,
345.898,519,343,,,,,,,
346.402,469,318,,,,,,,
346.907,662,415,,,,,,,
347.415,723,445,,,,,,,
347.922,720,444,,,,,,,
348.425,438,303,,,,,,,
348.938,226,197,,,,,,,
349.438,195,181,,,,,,,
349.941,187,177,,,,,,,
350.448,187,177,,,,,,,
350.963,183,175,,,,,,,
351.471,222,195,,,,,,,
351.975,207,187,,,,,,,
352.483,205,186,,,,,,,
352.986,204,186,,,,,,,
353.498,208,188,,,,,,,
354.004,216,192,,,,,,,
354.504,199,183,,,,,,,
355.005,204,186,,,,,,,
355.509,169,168,,,,,,,
356.015,130,149,,,,,,,
356.517,122,145,,,,,,,
357.021,126,147,,,,,,,
357.528,130,149,,,,,,,
358.032,130,149,,,,,,,
358.536,130,149,,,,,,,
359.04,129,148,,,,,,,
359.548,129,148,,,,,,,
360.054,128,148,,,,,,,
360.573,128,148,,,,,,,
361.091,128,148,,,,,,,
361.607,128,148,,,,,,,
362.111,128,148,,,,,,,
362.611,128,148,,,,,,,
363.112,128,148,,,,,,,
363.628,128,148,,,,,,,
364.136,127,147,,,,,,,
364.64,123,145,,,,,,,
365.148,121,144,,,,,,,
365.654,186,177,,,,,,,
366.16,210,189,,,,,,,
366.665,221,194,,,,,,,
367.171,225,196,,,,,,,
367.672,230,199,,,,,,,
368.173,235,201,,,,,,,
368.677,235,201,,,,,,,
369.18,221,194,,,,,,,
369.682,195,181,,,,,,,
370.185,712,440,,,,,,,
370.69,721,444,,,,,,,
371.19,718,443,,,,,,,
371.692,715,441,,,,,,,
372.193,704,436,,,,,,,
372.693,684,426,,,,,,,
373.196,701,434,,,,,,,
373.711,710,439,,,,,,,
374.211,714,441,,,,,,,
374.712,718,443,,,,,,,
375.214,727,447,,,,,,,
375.715,480,324,,,,,,,
376.218,511,339,,,,,,,
376.722,680,424,,,,,,,
377.237,759,463,,,,,,,
377.74,758,463,,,,,,,
378.244,758,463,,,,,,,
378.75,767,467,,,,,,,
379.254,770,469,,,,,,,
379.756,763,465,,,,,,,
380.26,771,469,,,,,,,
380.764,765,466,,,,,,,
381.271,767,467,,,,,,,
381.775,772,470,,,,,,,
382.283,766,467,,,,,,,
382.792,770,469,,,,,,,
383.3,766,467,,,,,,,
383.804,773,470,,,,,,,
384.306,772,470,,,,,,,
384.807,767,467,,,,,,,
385.308,767,467,,,,,,,
385.814,769,468,,,,,,,
386.315,770,469,,,,,,,
386.82,770,469,,,,,,,
387.32,770,469,,,,,,,
387.824,766,467,,,,,,,
388.341,768,468,,,,,,,
388.844,768,468,,,,,,,
389.361,770,469,,,,,,,
389.864,769,468,,,,,,,
390.365,767,467,,,,,,,
390.871,772,470,,,,,,,
391.371,772,470,,,,,,,
391.878,766,467,,,,,,,
392.383,771,469,,,,,,,
392.89,769,468,,,,,,,
393.391,765,466,,,,,,,
393.892,769,468,,,,,,,
394.397,771,469,,,,,,,
394.903,766,467,,,,,,,
395.419,765,466,,,,,,,
395.922,772,470,,,,,,,
396.435,768,468,,,,,,,
396.936,771,469,,,,,,,
397.437,770,469,,,,,,,
397.944,764,466,,,,,,,
398.445,764,466,,,,,,,
398.95,766,467,,,,,,,
399.454,766,467,,,,,,,
399.955,766,467,,,,,,,
400.457,768,468,,,,,,,
400.957,768,468,,,,,,,
401.476,771,469,,,,,,,
401.996,765,466,,,,,,,
402.502,769,468,,,,,,,
403.002,769,468,,,,,,,
403.504,768,468,,,,,,,
404.005,768,468,,,,,,,
404.505,767,467,,,,,,,
405.006,766,467,,,,,,,
405.507,768,468,,,,,,,
406.008,769,468,,,,,,,
406.508,770,469,,,,,,,
407.009,770,469,,,,,,,
407.51,770,469,,,,,,,
408.011,771,469,,,,,,,
408.515,768,468,,,,,,,
409.023,772,470,,,,,,,
409.529,766,467,,,,,,,
410.035,771,469,,,,,,,
410.539,770,469,,,,,,,
411.041,766,467,,,,,,,
411.541,767,467,,,,,,,
412.057,770,469,,,,,,,
412.557,771,469,,,,,,,
413.072,772,470,,,,,,,
413.577,770,469,,,,,,,
414.093,763,465,,,,,,,
414.594,763,465,,,,,,,
415.113,766,467,,,,,,,
415.614,768,468,,,,,,,
416.115,771,469,,,,,,,
416.616,770,469,,,,,,,
417.118,765,466,,,,,,,
417.621,772,470,,,,,,,
418.137,769,468,,,,,,,
418.642,770,469,,,,,,,
419.143,769,468,,,,,,,
419.649,772,470,,,,,,,
420.152,772,470,,,,,,,
420.653,771,469,,,,,,,
421.16,770,469,,,,,,,
421.661,770,469,,,,,,,
422.161,771,469,,,,,,,
422.662,772,470,,,,,,,
423.165,768,468,,,,,,,
423.667,767,467,,,,,,,
424.167,768,468,,,,,,,
424.668,766,467,,,,,,,
425.168,766,467,,,,,,,
425.668,765,466,,,,,,,
426.17,771,469,,,,,,,
426.673,771,469,,,,,,,
427.173,769,468,,,,,,,
427.674,768,468,,,,,,,
428.176,768,468,,,,,,,
428.676,768,468,,,,,,,
429.177,766,467,,,,,,,
429.678,766,467,,,,,,,
430.178,766,467,,,,,,,
430.682,770,469,,,,,,,
431.182,769,468,,,,,,,
431.686,768,468,,,,,,,
432.188,765,466,,,,,,,
432.691,766,467,,,,,,,
433.192,767,467,,,,,,,
433.692,767,467,,,,,,,
434.195,771,469,,,,,,,
434.696,770,469,,,,,,,
435.196,770,469,,,,,,,
435.696,766,467,,,,,,,
436.212,767,467,,,,,,,
436.713,766,467,,,,,,,
437.228,771,469,,,,,,,
437.729,772,470,,,,,,,
438.232,768,468,,,,,,,
438.732,768,468,,,,,,,
439.232,772,470,,,,,,,
439.732,773,470,,,,,,,
440.233,772,470,,,,,,,
440.749,765,466,,,,,,,
441.251,765,466,,,,,,,
441.753,772,470,,,,,,,
442.266,768,468,,,,,,,
442.77,770,469,,,,,,,
443.274,765,466,,,,,,,
443.775,765,466,,,,,,,
444.283,771,469,,,,,,,
444.788,766,467,,,,,,,
445.303,765,466,,,,,,,
445.804,771,469,,,,,,,
446.323,766,467,,,,,,,
446.842,765,466,,,,,,,
447.343,766,467,,,,,,,
447.858,768,468,,,,,,,
448.373,771,469,,,,,,,
448.873,771,469,,,,,,,
449.388,769,468,,,,,,,
449.904,767,467,,,,,,,
450.423,763,465,,,,,,,
450.942,770,469,,,,,,,
451.442,770,469,,,,,,,
451.943,770,469,,,,,,,
452.444,764,466,,,,,,,
452.945,765,466,,,,,,,
453.46,769,468,,,,,,,
453.962,765,466,,,,,,,
454.462,765,466,,,,,,,
454.963,771,469,,,,,,,
455.466,770,469,,,,,,,
455.983,768,468,,,,,,,
456.502,768,468,,,,,,,
457.004,768,468,,,,,,,
457.51,764,466,,,,,,,
458.01,765,466,,,,,,,
458.512,765,466,,,,,,,
459.016,771,469,,,,,,,
459.516,770,469,,,,,,,
460.023,764,466,,,,,,,
460.531,767,467,,,,,,,
461.035,767,467,,,,,,,
461.535,767,467,,,,,,,
462.036,767,467,,,,,,,
462.537,768,468,,,,,,,
