Calibration,1,19h12m43s," "," "
"Time, s",Light,Threshold,,
0.515,184,181,,
1.015,242,210,,
1.535,256,217,,
2.053,244,211,,
2.569,246,212,,
3.084,250,214,,
3.584,252,215,,
4.084,250,214,,
4.588,246,212,,
5.091,246,212,,
5.598,248,213,,
6.106,238,208,,
6.612,250,214,,
7.116,244,211,,
7.619,246,212,,
8.121,246,212,,
8.627,248,213,,
9.132,250,214,,
9.634,256,217,,
10.135,258,218,,
10.635,256,217,,
11.135,256,217,,
11.639,250,214,,
12.154,252,215,,
12.67,254,216,,
13.172,254,216,,
13.68,346,262,,
14.186,920,549,,
14.691,886,532,,
15.197,900,539,,
15.7,870,524,,
16.202,860,519,,
16.706,888,533,,
17.206,898,538,,
