Calibration,1,18h2m17s," "," ",,,,,,,,,
"Time, s",Light,Threshold,,,,,,,,Time,ThreshHold,Time,ThreshHold
,,,,,,,,,,2.088,176,2.089,184
,,,,,,,,,,2.104,174,2.104,184
,,,,,,,,,,2.12,174,2.121,184
,,,,,,,,,,2.138,174,2.139,184
,,,,,,,,,,2.155,172,2.155,184
,,,,,,,,,,2.172,172,2.173,186
,,,,,,,,,,2.188,172,2.189,186
,,,,,,,,,,2.205,172,2.205,188
,,,,,,,,,,2.223,172,2.222,188
,,,,,,,,,,2.239,170,2.238,190
,,,,,,,,,,2.255,170,2.256,188
,,,,,,,,,,2.271,170,2.272,190
,,,,,,,,,,2.288,172,2.288,190
,,,,,,,,,,2.305,172,2.305,190
,,,,,,,,,,2.322,172,2.323,190
,,,,,,,,,,2.338,172,2.339,190
,,,,,,,,,,2.355,172,2.356,190
,,,,,,,,,,2.372,172,2.372,190
,,,,,,,,,,2.388,170,2.389,190
,,,,,,,,,,2.406,170,2.405,190
,,,,,,,,,,2.423,172,2.422,190
,,,,,,,,,,2.439,172,2.439,190
,,,,,,,,,,2.455,172,2.455,188
,,,,,,,,,,2.472,172,2.472,188
,,,,,,,,,,2.488,172,2.489,186
,,,,,,,,,,2.505,172,2.506,188
,,,,,,,,,,2.522,172,2.521,188
,,,,,,,,,,2.538,172,2.539,190
,,,,,,,,,,2.555,172,2.555,190
,,,,,,,,,,2.573,172,2.572,192
,,,,,,,,,,2.588,172,2.59,192
,,,,,,,,,,2.604,172,2.606,194
,,,,,,,,,,2.621,172,2.623,194
,,,,,,,,,,2.638,170,2.639,194
,,,,,,,,,,2.655,172,2.656,196
,,,,,,,,,,2.672,170,2.671,196
,,,,,,,,,,2.688,170,2.688,196
,,,,,,,,,,2.704,170,2.706,196
,,,,,,,,,,2.722,170,2.723,196
,,,,,,,,,,2.738,170,2.739,196
,,,,,,,,,,2.755,170,2.756,196
,,,,,,,,,,2.772,170,2.773,194
,,,,,,,,,,2.788,170,2.789,194
,,,,,,,,,,2.805,170,2.806,192
,,,,,,,,,,2.822,170,2.822,192
,,,,,,,,,,2.838,168,2.839,190
,,,,,,,,,,2.855,168,2.855,190
,,,,,,,,,,2.873,168,2.873,190
,,,,,,,,,,2.888,168,2.888,190
,,,,,,,,,,2.905,166,2.905,188
,,,,,,,,,,2.921,166,2.922,188
,,,,,,,,,,2.939,166,2.939,188
,,,,,,,,,,2.956,166,2.956,188
,,,,,,,,,,2.971,164,2.972,188
,,,,,,,,,,2.989,164,2.989,190
,,,,,,,,,,3.005,164,3.006,190
,,,,,,,,,,3.022,164,3.022,190
,,,,,,,,,,3.038,164,3.038,192
,,,,,,,,,,3.056,162,3.056,192
,,,,,,,,,,3.071,164,3.072,192
,,,,,,,,,,3.088,162,3.089,192
,,,,,,,,,,3.105,164,3.105,192
,,,,,,,,,,3.122,164,3.122,192
,,,,,,,,,,3.138,164,3.138,192
,,,,,,,,,,3.156,162,3.156,192
,,,,,,,,,,3.172,162,3.173,190
,,,,,,,,,,3.189,162,3.189,188
,,,,,,,,,,3.205,162,3.206,188
,,,,,,,,,,3.221,162,3.222,188
,,,,,,,,,,3.238,162,3.238,188
,,,,,,,,,,3.255,160,3.255,188
,,,,,,,,,,3.272,160,3.272,188
,,,,,,,,,,3.288,160,3.288,186
,,,,,,,,,,3.305,158,3.305,188
,,,,,,,,,,3.321,160,3.322,186
,,,,,,,,,,3.338,158,3.338,186
,,,,,,,,,,3.354,158,3.355,186
,,,,,,,,,,3.373,158,3.372,186
,,,,,,,,,,3.388,158,3.388,186
,,,,,,,,,,3.405,156,3.405,186
,,,,,,,,,,3.421,156,3.422,184
,,,,,,,,,,3.439,156,3.438,184
,,,,,,,,,,3.455,156,3.456,184
,,,,,,,,,,3.471,156,3.473,182
,,,,,,,,,,3.488,156,3.489,178
,,,,,,,,,,3.505,154,3.506,176
,,,,,,,,,,3.521,154,3.522,170
,,,,,,,,,,3.538,154,3.539,168
,,,,,,,,,,3.554,152,3.556,164
,,,,,,,,,,3.571,152,3.572,162
,,,,,,,,,,3.588,150,3.589,154
,,,,,,,,,,3.605,150,3.605,144
,,,,,,,,,,3.622,148,3.622,136
,,,,,,,,,,3.639,148,3.638,130
,,,,,,,,,,3.654,144,3.655,128
,,,,,,,,,,3.672,144,3.671,126
,,,,,,,,,,3.688,142,3.69,126
,,,,,,,,,,3.705,140,3.706,122
,,,,,,,,,,3.722,140,3.723,122
,,,,,,,,,,3.739,138,3.739,118
,,,,,,,,,,3.755,134,3.756,114
,,,,,,,,,,3.771,130,3.772,108
,,,,,,,,,,3.788,128,3.789,104
,,,,,,,,,,3.806,124,3.806,102
,,,,,,,,,,3.822,122,3.823,98
,,,,,,,,,,3.839,118,3.839,96
,,,,,,,,,,3.855,114,3.856,92
,,,,,,,,,,3.871,112,3.872,88
,,,,,,,,,,3.889,110,3.889,84
,,,,,,,,,,3.905,104,3.905,84
,,,,,,,,,,3.921,102,3.923,82
,,,,,,,,,,3.938,100,3.939,84
,,,,,,,,,,3.954,98,3.956,84
,,,,,,,,,,3.972,96,3.972,84
,,,,,,,,,,3.988,96,3.989,84
,,,,,,,,,,4.005,94,4.006,82
,,,,,,,,,,4.021,94,4.022,80
,,,,,,,,,,4.038,92,4.038,76
,,,,,,,,,,4.054,92,4.055,72
,,,,,,,,,,4.073,90,4.073,68
,,,,,,,,,,4.088,90,4.089,64
,,,,,,,,,,4.106,90,4.105,62
,,,,,,,,,,4.122,88,4.123,58
