Calibration,1,18h2m17s," "," ",,,,,,,,,
"Time, s",Light,Threshold,,,,,,,,Time,ThreshHold,Time,ThreshHold
,,,,,,,,,,10.106,58,4.456,210
,,,,,,,,,,10.123,56,4.456,210
,,,,,,,,,,10.139,56,4.456,208
,,,,,,,,,,10.156,56,4.456,210
,,,,,,,,,,10.173,54,4.456,208
,,,,,,,,,,10.189,56,4.456,208
,,,,,,,,,,10.206,54,4.456,208
,,,,,,,,,,10.223,54,4.456,210
,,,,,,,,,,10.239,54,4.456,212
,,,,,,,,,,10.256,54,4.456,214
,,,,,,,,,,10.273,56,4.456,218
,,,,,,,,,,10.29,56,4.456,220
,,,,,,,,,,10.307,56,4.456,222
,,,,,,,,,,10.322,56,4.456,224
,,,,,,,,,,10.34,58,4.456,226
,,,,,,,,,,10.356,58,4.456,228
,,,,,,,,,,10.372,60,4.456,230
,,,,,,,,,,10.39,60,4.456,232
,,,,,,,,,,10.407,60,4.456,234
,,,,,,,,,,10.423,62,4.456,236
,,,,,,,,,,10.44,64,4.456,238
,,,,,,,,,,10.456,64,4.456,240
,,,,,,,,,,10.472,68,4.456,240
,,,,,,,,,,10.489,70,4.456,240
,,,,,,,,,,10.505,74,4.456,240
,,,,,,,,,,10.522,80,4.456,240
,,,,,,,,,,10.539,86,4.456,240
,,,,,,,,,,10.556,94,4.456,240
,,,,,,,,,,10.573,110,4.456,238
,,,,,,,,,,10.589,142,4.456,236
,,,,,,,,,,10.606,158,4.456,236
,,,,,,,,,,10.623,166,4.456,234
,,,,,,,,,,10.639,176,4.456,234
,,,,,,,,,,10.656,182,4.456,234
,,,,,,,,,,10.672,188,4.456,234
,,,,,,,,,,10.69,190,4.456,234
,,,,,,,,,,10.706,194,4.456,234
,,,,,,,,,,10.723,196,4.456,234
,,,,,,,,,,10.739,196,4.456,234
,,,,,,,,,,10.756,198,4.456,234
,,,,,,,,,,10.774,198,4.456,238
,,,,,,,,,,10.789,198,4.456,238
,,,,,,,,,,10.806,200,4.456,238
,,,,,,,,,,10.822,202,4.456,238
,,,,,,,,,,10.84,204,4.456,240
,,,,,,,,,,10.855,204,4.456,240
,,,,,,,,,,10.872,206,4.456,242
,,,,,,,,,,10.889,206,4.456,242
,,,,,,,,,,10.905,208,4.456,244
,,,,,,,,,,10.922,210,4.456,244
,,,,,,,,,,10.939,210,4.456,244
,,,,,,,,,,10.956,212,4.456,246
,,,,,,,,,,10.974,212,4.456,246
,,,,,,,,,,10.989,212,4.456,244
,,,,,,,,,,11.006,214,4.456,246
,,,,,,,,,,11.022,212,4.456,246
,,,,,,,,,,11.04,212,4.456,246
,,,,,,,,,,11.056,212,4.456,246
,,,,,,,,,,11.073,212,4.456,248
,,,,,,,,,,11.089,210,0.0,242
,,,,,,,,,,11.107,210,0.004,244
,,,,,,,,,,11.122,208,0.021,242
,,,,,,,,,,11.138,208,0.038,244
,,,,,,,,,,11.157,210,0.055,246
,,,,,,,,,,11.172,210,0.071,246
,,,,,,,,,,11.19,210,0.087,248
,,,,,,,,,,11.206,208,0.104,246
,,,,,,,,,,11.223,206,0.121,246
,,,,,,,,,,11.239,210,0.138,244
,,,,,,,,,,11.256,212,0.155,242
,,,,,,,,,,11.272,212,0.171,242
,,,,,,,,,,11.288,214,0.187,240
,,,,,,,,,,11.306,212,0.204,240
,,,,,,,,,,11.322,212,0.221,240
,,,,,,,,,,11.339,212,0.238,242
,,,,,,,,,,11.356,208,0.254,240
,,,,,,,,,,11.371,202,0.271,240
,,,,,,,,,,11.39,190,0.287,240
,,,,,,,,,,11.407,178,0.304,240
,,,,,,,,,,11.423,172,0.321,240
,,,,,,,,,,11.439,170,0.338,240
,,,,,,,,,,11.457,162,0.354,238
,,,,,,,,,,11.471,154,0.372,238
,,,,,,,,,,11.49,136,0.388,238
,,,,,,,,,,11.506,120,0.404,238
,,,,,,,,,,11.523,106,0.422,236
,,,,,,,,,,11.54,94,0.438,236
,,,,,,,,,,11.557,86,0.455,236
,,,,,,,,,,11.572,78,0.471,234
,,,,,,,,,,11.59,70,0.488,234
,,,,,,,,,,11.606,64,0.504,232
,,,,,,,,,,11.623,60,0.521,230
,,,,,,,,,,11.639,56,0.538,230
,,,,,,,,,,11.656,54,0.555,230
,,,,,,,,,,11.673,50,0.57,228
,,,,,,,,,,11.673,48,0.588,228
,,,,,,,,,,11.673,46,0.605,226
,,,,,,,,,,11.673,44,0.621,226
,,,,,,,,,,11.673,44,0.638,226
,,,,,,,,,,11.673,44,0.654,228
,,,,,,,,,,11.673,44,0.671,230
,,,,,,,,,,11.673,42,0.687,230
,,,,,,,,,,11.673,44,0.705,232
,,,,,,,,,,11.673,44,0.721,234
,,,,,,,,,,11.673,42,0.738,236
,,,,,,,,,,11.673,42,0.754,238
,,,,,,,,,,11.673,42,0.771,238
,,,,,,,,,,11.673,44,0.787,240
,,,,,,,,,,11.673,42,0.804,242
,,,,,,,,,,11.673,42,0.822,242
,,,,,,,,,,11.673,42,0.838,242
,,,,,,,,,,11.673,44,0.854,244
,,,,,,,,,,11.673,44,0.871,242
,,,,,,,,,,11.673,44,0.887,244
,,,,,,,,,,11.673,44,0.904,244
,,,,,,,,,,11.673,44,0.922,244
,,,,,,,,,,11.673,44,0.938,244
,,,,,,,,,,11.673,44,0.954,242
,,,,,,,,,,11.673,44,0.971,242
,,,,,,,,,,11.673,46,0.988,244
,,,,,,,,,,11.673,44,1.006,242
,,,,,,,,,,11.673,46,1.022,242
,,,,,,,,,,11.673,44,1.038,242
,,,,,,,,,,11.673,46,1.054,242
,,,,,,,,,,11.673,44,1.071,242
,,,,,,,,,,11.673,44,1.088,242
,,,,,,,,,,11.673,44,1.104,242
,,,,,,,,,,11.673,44,1.122,242
,,,,,,,,,,11.673,44,1.138,242
,,,,,,,,,,11.673,44,1.155,242
,,,,,,,,,,11.673,44,1.171,242
,,,,,,,,,,11.673,44,1.188,242
,,,,,,,,,,11.673,44,1.206,242
,,,,,,,,,,11.673,44,1.221,240
,,,,,,,,,,11.673,44,1.238,242
,,,,,,,,,,11.673,44,1.254,240
,,,,,,,,,,11.673,44,1.271,240
,,,,,,,,,,11.673,44,1.288,240
,,,,,,,,,,11.673,44,1.305,242
,,,,,,,,,,11.673,44,1.321,240
,,,,,,,,,,11.673,44,1.338,240
,,,,,,,,,,11.673,44,1.354,240
,,,,,,,,,,11.673,46,1.371,240
,,,,,,,,,,11.673,50,1.389,240
,,,,,,,,,,11.673,56,1.406,240
,,,,,,,,,,11.673,62,1.422,238
,,,,,,,,,,11.673,72,1.439,238
,,,,,,,,,,11.673,80,1.455,238
,,,,,,,,,,11.673,86,1.471,238
,,,,,,,,,,11.673,88,1.489,238
,,,,,,,,,,11.673,90,1.506,236
,,,,,,,,,,11.673,92,1.522,236
,,,,,,,,,,11.673,96,1.539,236
,,,,,,,,,,11.673,100,1.555,236
,,,,,,,,,,11.673,104,1.572,234
,,,,,,,,,,11.673,110,1.589,234
,,,,,,,,,,11.673,116,1.606,232
,,,,,,,,,,11.673,122,1.622,230
,,,,,,,,,,11.673,130,1.639,230
,,,,,,,,,,11.673,136,1.655,230
,,,,,,,,,,11.673,138,1.672,228
,,,,,,,,,,11.673,140,1.687,228
,,,,,,,,,,11.673,144,1.705,228
,,,,,,,,,,11.673,154,1.722,230
,,,,,,,,,,11.673,160,1.739,228
,,,,,,,,,,11.673,172,1.755,228
,,,,,,,,,,11.673,178,1.771,228
,,,,,,,,,,11.673,184,1.789,228
,,,,,,,,,,11.673,186,1.806,230
,,,,,,,,,,11.673,186,1.822,230
,,,,,,,,,,11.673,184,1.839,230
,,,,,,,,,,11.673,184,1.854,228
,,,,,,,,,,11.673,184,1.871,230
,,,,,,,,,,11.673,184,1.889,230
,,,,,,,,,,11.673,184,1.906,228
,,,,,,,,,,11.673,184,1.921,230
,,,,,,,,,,11.673,184,1.939,228
,,,,,,,,,,11.673,184,1.955,228
,,,,,,,,,,11.673,184,1.97,228
,,,,,,,,,,11.673,184,1.989,230
,,,,,,,,,,11.673,184,2.006,230
,,,,,,,,,,11.673,186,2.021,228
,,,,,,,,,,11.673,186,2.039,228
,,,,,,,,,,11.673,186,2.055,230
,,,,,,,,,,11.673,186,2.072,230
,,,,,,,,,,11.673,186,2.089,228
,,,,,,,,,,11.673,186,2.105,228
,,,,,,,,,,11.673,188,2.121,228
,,,,,,,,,,11.673,188,2.139,228
,,,,,,,,,,11.673,188,2.155,228
,,,,,,,,,,11.673,188,2.17,228
,,,,,,,,,,11.673,188,2.187,228
,,,,,,,,,,11.673,188,2.205,228
,,,,,,,,,,11.673,186,2.222,228
,,,,,,,,,,11.673,186,2.239,228
,,,,,,,,,,11.673,188,2.255,228
,,,,,,,,,,11.673,188,2.27,226
,,,,,,,,,,11.673,188,2.288,228
,,,,,,,,,,11.673,188,2.305,228
,,,,,,,,,,11.673,188,2.322,226
,,,,,,,,,,11.673,188,2.338,226
,,,,,,,,,,11.673,188,2.354,226
,,,,,,,,,,11.673,188,2.371,224
,,,,,,,,,,11.673,188,2.389,224
,,,,,,,,,,11.673,188,2.405,224
,,,,,,,,,,11.673,188,2.422,222
,,,,,,,,,,11.673,190,2.439,222
,,,,,,,,,,11.673,190,2.455,222
,,,,,,,,,,11.673,188,2.472,222
,,,,,,,,,,11.673,190,2.489,222
,,,,,,,,,,11.673,190,2.505,222
,,,,,,,,,,11.673,190,2.522,222
,,,,,,,,,,11.673,190,2.538,222
,,,,,,,,,,11.673,192,2.555,222
,,,,,,,,,,11.673,192,2.572,224
,,,,,,,,,,11.673,192,2.588,222
,,,,,,,,,,11.673,192,2.605,222
,,,,,,,,,,11.673,192,2.622,222
,,,,,,,,,,11.673,192,2.638,222
,,,,,,,,,,11.673,194,2.656,220
,,,,,,,,,,11.673,194,2.672,220
,,,,,,,,,,11.673,194,2.688,218
,,,,,,,,,,11.673,194,2.705,218
,,,,,,,,,,11.673,194,2.722,218
,,,,,,,,,,11.673,194,2.738,218
,,,,,,,,,,11.673,196,2.755,218
,,,,,,,,,,11.673,196,2.772,216
,,,,,,,,,,11.673,196,2.788,216
,,,,,,,,,,11.673,196,2.805,216
,,,,,,,,,,11.673,196,2.822,216
,,,,,,,,,,11.673,198,2.838,214
,,,,,,,,,,11.673,198,2.855,214
,,,,,,,,,,11.673,198,2.872,214
,,,,,,,,,,11.673,200,2.888,212
,,,,,,,,,,11.673,200,2.905,212
,,,,,,,,,,11.673,202,2.923,212
,,,,,,,,,,11.673,202,2.939,212
,,,,,,,,,,11.673,202,2.955,212
,,,,,,,,,,11.673,198,2.972,210
,,,,,,,,,,11.673,198,2.989,212
,,,,,,,,,,11.673,198,3.005,212
,,,,,,,,,,11.673,196,3.022,210
,,,,,,,,,,11.673,192,3.039,210
,,,,,,,,,,11.673,188,3.055,210
,,,,,,,,,,11.673,188,3.073,210
,,,,,,,,,,11.673,176,3.089,210
,,,,,,,,,,11.673,164,3.106,210
,,,,,,,,,,11.673,158,3.123,208
,,,,,,,,,,11.673,158,3.138,208
,,,,,,,,,,11.673,156,3.155,208
,,,,,,,,,,11.673,156,3.172,206
,,,,,,,,,,11.673,154,3.189,206
,,,,,,,,,,11.673,152,3.205,206
,,,,,,,,,,11.673,152,3.222,206
,,,,,,,,,,11.673,148,3.239,206
,,,,,,,,,,11.673,146,3.255,206
,,,,,,,,,,11.673,146,3.272,204
,,,,,,,,,,11.673,146,3.289,206
,,,,,,,,,,11.673,144,3.306,204
,,,,,,,,,,11.673,144,3.321,204
,,,,,,,,,,11.673,144,3.339,202
,,,,,,,,,,11.673,144,3.355,200
,,,,,,,,,,11.673,144,3.371,198
,,,,,,,,,,11.673,144,3.389,196
,,,,,,,,,,11.673,144,3.405,196
,,,,,,,,,,11.673,144,3.421,192
,,,,,,,,,,11.673,144,3.439,190
,,,,,,,,,,11.673,146,3.455,188
,,,,,,,,,,11.673,146,3.472,186
,,,,,,,,,,11.673,146,3.489,188
,,,,,,,,,,11.673,146,3.506,188
,,,,,,,,,,11.673,144,3.522,188
,,,,,,,,,,11.673,144,3.538,188
,,,,,,,,,,11.673,142,3.555,184
,,,,,,,,,,11.673,142,3.571,180
,,,,,,,,,,11.673,142,3.588,178
,,,,,,,,,,11.673,142,3.605,178
,,,,,,,,,,11.673,140,3.622,176
,,,,,,,,,,11.673,140,3.639,176
,,,,,,,,,,11.673,140,3.655,174
,,,,,,,,,,11.673,138,3.671,170
,,,,,,,,,,11.673,140,3.688,168
,,,,,,,,,,11.673,140,3.705,166
,,,,,,,,,,11.673,142,3.722,166
,,,,,,,,,,11.673,144,3.739,164
,,,,,,,,,,11.673,146,3.755,164
,,,,,,,,,,11.673,150,3.772,162
,,,,,,,,,,11.673,154,3.789,164
,,,,,,,,,,11.673,158,3.805,162
,,,,,,,,,,11.673,186,3.822,164
,,,,,,,,,,11.673,192,3.839,160
,,,,,,,,,,11.673,196,3.854,160
,,,,,,,,,,11.673,198,3.873,158
,,,,,,,,,,11.673,198,3.888,158
,,,,,,,,,,11.673,200,3.905,156
,,,,,,,,,,11.673,200,3.922,150
,,,,,,,,,,11.673,200,3.938,144
,,,,,,,,,,11.673,200,3.955,140
,,,,,,,,,,11.673,200,3.972,136
,,,,,,,,,,11.673,200,3.989,136
,,,,,,,,,,11.673,200,4.005,134
,,,,,,,,,,11.673,200,4.022,132
,,,,,,,,,,11.673,200,4.039,128
,,,,,,,,,,11.673,200,4.055,128
,,,,,,,,,,11.673,200,4.072,126
,,,,,,,,,,11.673,200,4.089,130
,,,,,,,,,,11.673,200,4.106,136
,,,,,,,,,,11.673,200,4.122,142
,,,,,,,,,,11.673,200,4.138,144
,,,,,,,,,,11.673,200,4.155,144
,,,,,,,,,,11.673,202,4.172,138
,,,,,,,,,,11.673,202,4.189,134
,,,,,,,,,,11.673,202,4.206,130
,,,,,,,,,,11.673,200,4.221,128
,,,,,,,,,,11.673,202,4.238,126
,,,,,,,,,,11.673,202,4.255,122
,,,,,,,,,,11.673,202,4.272,116
,,,,,,,,,,11.673,202,4.289,106
,,,,,,,,,,11.673,202,4.305,102
,,,,,,,,,,11.673,204,4.322,100
,,,,,,,,,,11.673,204,4.339,98
,,,,,,,,,,11.673,204,4.355,98
,,,,,,,,,,11.673,204,4.373,96
,,,,,,,,,,11.673,204,4.389,94
,,,,,,,,,,11.673,204,4.405,92
,,,,,,,,,,11.673,204,4.422,92
,,,,,,,,,,11.673,200,4.439,92
,,,,,,,,,,11.673,198,4.455,90
,,,,,,,,,,11.673,198,4.472,88
,,,,,,,,,,11.673,198,4.488,86
,,,,,,,,,,11.673,198,4.505,86
,,,,,,,,,,11.673,198,4.522,84
,,,,,,,,,,11.673,200,4.539,84
,,,,,,,,,,11.673,202,4.555,82
,,,,,,,,,,11.673,202,4.572,82
,,,,,,,,,,11.673,204,4.588,82
,,,,,,,,,,11.673,206,4.605,82
,,,,,,,,,,11.673,206,4.622,86
,,,,,,,,,,11.673,206,4.639,88
,,,,,,,,,,11.673,208,4.655,94
,,,,,,,,,,11.673,210,4.672,98
,,,,,,,,,,11.673,214,4.689,96
,,,,,,,,,,11.673,216,4.706,96
,,,,,,,,,,11.673,218,4.722,94
,,,,,,,,,,11.673,220,4.739,92
,,,,,,,,,,11.673,224,4.755,90
,,,,,,,,,,11.673,226,4.773,90
,,,,,,,,,,11.673,228,4.789,88
,,,,,,,,,,11.673,228,4.805,90
,,,,,,,,,,11.673,232,4.823,88
,,,,,,,,,,11.673,232,4.839,88
,,,,,,,,,,11.673,234,4.855,88
,,,,,,,,,,11.673,236,4.872,88
,,,,,,,,,,11.673,236,4.889,88
,,,,,,,,,,11.673,236,4.905,88
,,,,,,,,,,11.673,238,4.922,86
,,,,,,,,,,11.673,238,4.938,88
,,,,,,,,,,11.673,238,4.955,88
,,,,,,,,,,11.673,238,4.972,88
,,,,,,,,,,11.673,238,4.988,88
,,,,,,,,,,11.673,238,5.006,90
,,,,,,,,,,11.673,240,5.022,92
,,,,,,,,,,11.673,240,5.039,96
,,,,,,,,,,11.673,240,5.055,98
,,,,,,,,,,11.673,240,5.072,102
,,,,,,,,,,11.673,240,5.089,104
,,,,,,,,,,11.673,240,5.105,108
,,,,,,,,,,11.673,240,5.122,110
,,,,,,,,,,11.673,242,5.139,114
,,,,,,,,,,11.673,240,5.155,118
,,,,,,,,,,11.673,242,5.172,130
,,,,,,,,,,11.673,242,5.189,148
,,,,,,,,,,11.673,242,5.206,162
,,,,,,,,,,11.673,242,5.222,164
,,,,,,,,,,11.673,242,5.239,162
,,,,,,,,,,11.673,242,5.255,150
,,,,,,,,,,11.673,242,5.272,128
,,,,,,,,,,11.673,244,5.289,110
,,,,,,,,,,11.673,242,5.305,108
,,,,,,,,,,11.673,242,5.322,108
,,,,,,,,,,11.673,242,5.339,112
,,,,,,,,,,11.673,244,5.355,110
,,,,,,,,,,11.673,244,5.373,108
,,,,,,,,,,11.673,244,5.388,104
,,,,,,,,,,11.673,244,5.404,100
,,,,,,,,,,11.673,244,5.422,98
,,,,,,,,,,11.673,244,5.438,96
,,,,,,,,,,11.673,244,5.455,96
,,,,,,,,,,11.673,244,5.472,98
,,,,,,,,,,11.673,242,5.489,96
,,,,,,,,,,11.673,242,5.505,94
,,,,,,,,,,11.673,240,5.521,90
,,,,,,,,,,11.673,238,5.539,86
,,,,,,,,,,11.673,234,5.555,84
,,,,,,,,,,11.673,230,5.571,82
,,,,,,,,,,11.673,228,5.589,80
,,,,,,,,,,11.673,224,5.605,80
,,,,,,,,,,11.673,222,5.622,80
,,,,,,,,,,11.673,218,5.639,80
,,,,,,,,,,11.673,216,5.655,80
,,,,,,,,,,11.673,216,5.672,80
,,,,,,,,,,11.673,216,5.689,80
,,,,,,,,,,11.673,216,5.705,84
,,,,,,,,,,11.673,216,5.722,88
,,,,,,,,,,11.673,216,5.739,96
,,,,,,,,,,11.673,218,5.755,100
,,,,,,,,,,11.673,218,5.772,104
,,,,,,,,,,11.673,218,5.789,108
,,,,,,,,,,11.673,216,5.805,110
,,,,,,,,,,11.673,216,5.822,112
,,,,,,,,,,11.673,214,5.839,110
,,,,,,,,,,11.673,214,5.855,108
,,,,,,,,,,11.673,210,5.872,104
,,,,,,,,,,11.673,208,5.888,102
,,,,,,,,,,11.673,208,5.905,98
,,,,,,,,,,11.673,208,5.922,94
,,,,,,,,,,11.673,208,5.939,90
,,,,,,,,,,11.673,208,5.955,92
,,,,,,,,,,11.673,210,5.972,96
,,,,,,,,,,11.673,210,5.988,100
,,,,,,,,,,11.673,212,6.005,106
,,,,,,,,,,11.673,212,6.021,108
,,,,,,,,,,11.673,214,6.039,108
,,,,,,,,,,11.673,216,6.056,108
,,,,,,,,,,11.673,218,6.072,110
,,,,,,,,,,11.673,222,6.09,108
,,,,,,,,,,11.673,228,6.106,106
,,,,,,,,,,11.673,232,6.122,104
,,,,,,,,,,11.673,234,6.139,104
,,,,,,,,,,11.673,234,6.155,102
,,,,,,,,,,11.673,234,6.172,98
,,,,,,,,,,11.673,234,6.188,92
,,,,,,,,,,11.673,234,6.206,86
,,,,,,,,,,11.673,234,6.223,84
,,,,,,,,,,11.673,234,6.239,80
,,,,,,,,,,11.673,232,6.255,78
,,,,,,,,,,11.673,234,6.272,74
,,,,,,,,,,11.673,234,6.289,70
,,,,,,,,,,11.673,234,6.305,66
,,,,,,,,,,11.673,234,6.323,62
,,,,,,,,,,11.673,234,6.339,60
,,,,,,,,,,11.673,234,6.355,58
,,,,,,,,,,11.673,232,6.371,56
,,,,,,,,,,11.673,232,6.389,56
,,,,,,,,,,11.673,232,6.406,58
,,,,,,,,,,11.673,234,6.422,58
,,,,,,,,,,11.673,232,6.439,58
,,,,,,,,,,11.673,230,6.455,60
,,,,,,,,,,11.673,230,6.472,58
,,,,,,,,,,11.673,230,6.489,58
,,,,,,,,,,11.673,232,6.505,56
,,,,,,,,,,11.673,230,6.523,56
,,,,,,,,,,11.673,232,6.539,54
,,,,,,,,,,11.673,230,6.555,54
,,,,,,,,,,11.673,230,6.572,54
,,,,,,,,,,11.673,230,6.589,54
,,,,,,,,,,11.673,230,6.605,54
,,,,,,,,,,11.673,230,6.622,54
,,,,,,,,,,11.673,230,6.639,54
,,,,,,,,,,11.673,232,6.655,50
,,,,,,,,,,11.673,232,6.655,44
,,,,,,,,,,11.673,234,6.655,38
,,,,,,,,,,11.673,234,6.655,32
,,,,,,,,,,11.673,234,6.655,28
,,,,,,,,,,11.673,234,6.655,26
,,,,,,,,,,11.673,234,6.655,26
,,,,,,,,,,11.673,236,6.655,26
,,,,,,,,,,11.673,234,6.655,28
,,,,,,,,,,11.673,236,6.655,28
,,,,,,,,,,11.673,234,6.655,28
,,,,,,,,,,11.673,236,6.655,26
,,,,,,,,,,11.673,234,6.655,26
,,,,,,,,,,11.673,234,6.655,26
,,,,,,,,,,11.673,234,6.655,24
,,,,,,,,,,11.673,234,6.655,26
,,,,,,,,,,11.673,236,6.655,24
,,,,,,,,,,11.673,236,6.655,24
,,,,,,,,,,11.673,236,6.655,24
,,,,,,,,,,11.673,236,6.655,22
,,,,,,,,,,11.673,236,6.655,22
,,,,,,,,,,11.673,236,6.655,22
,,,,,,,,,,11.673,234,6.655,22
,,,,,,,,,,11.673,234,6.655,22
,,,,,,,,,,11.673,234,6.655,22
,,,,,,,,,,11.673,234,6.655,24
,,,,,,,,,,11.673,232,6.655,26
,,,,,,,,,,11.673,234,6.655,30
,,,,,,,,,,11.673,232,6.655,34
,,,,,,,,,,11.673,232,6.655,40
,,,,,,,,,,11.673,232,6.655,42
,,,,,,,,,,11.673,232,6.655,46
,,,,,,,,,,11.673,234,6.655,48
,,,,,,,,,,11.673,232,6.655,48
,,,,,,,,,,11.673,232,6.655,48
,,,,,,,,,,11.673,232,6.655,48
,,,,,,,,,,11.673,232,6.655,48
,,,,,,,,,,11.673,234,6.655,52
,,,,,,,,,,11.673,232,6.655,58
,,,,,,,,,,11.673,232,6.655,64
,,,,,,,,,,11.673,232,6.655,72
,,,,,,,,,,11.673,232,6.655,78
,,,,,,,,,,11.673,232,6.655,86
,,,,,,,,,,11.673,232,6.655,90
,,,,,,,,,,11.673,232,6.655,94
,,,,,,,,,,11.673,232,6.655,98
,,,,,,,,,,11.673,232,6.655,104
,,,,,,,,,,11.673,232,6.655,110
,,,,,,,,,,11.673,232,6.655,128
,,,,,,,,,,11.673,232,6.655,138
,,,,,,,,,,11.673,234,6.655,146
,,,,,,,,,,11.673,232,6.655,152
,,,,,,,,,,11.673,232,6.655,158
,,,,,,,,,,11.673,232,6.655,162
,,,,,,,,,,11.673,232,6.655,168
,,,,,,,,,,11.673,232,6.655,174
,,,,,,,,,,11.673,232,6.655,180
,,,,,,,,,,11.673,232,6.655,184
,,,,,,,,,,11.673,232,6.655,188
,,,,,,,,,,11.673,232,6.655,190
,,,,,,,,,,11.673,232,6.655,188
,,,,,,,,,,11.673,232,6.655,188
,,,,,,,,,,11.673,234,6.655,188
,,,,,,,,,,11.673,234,6.655,188
,,,,,,,,,,11.673,232,6.655,186
,,,,,,,,,,11.673,234,6.655,188
,,,,,,,,,,11.673,234,6.655,184
,,,,,,,,,,11.673,234,6.655,184
,,,,,,,,,,11.673,232,6.655,184
,,,,,,,,,,11.673,232,6.655,186
,,,,,,,,,,11.673,234,6.655,188
,,,,,,,,,,11.673,234,6.655,190
,,,,,,,,,,11.673,232,6.655,190
,,,,,,,,,,11.673,234,6.655,192
,,,,,,,,,,11.673,232,6.655,194
,,,,,,,,,,11.673,232,6.655,192
,,,,,,,,,,11.673,232,6.655,194
,,,,,,,,,,11.673,232,6.655,194
,,,,,,,,,,11.673,232,6.655,196
,,,,,,,,,,11.673,230,6.655,198
,,,,,,,,,,11.673,230,6.655,196
,,,,,,,,,,11.673,230,6.655,198
,,,,,,,,,,11.673,230,6.655,198
,,,,,,,,,,11.673,230,6.655,198
,,,,,,,,,,11.673,228,6.655,200
,,,,,,,,,,11.673,228,6.655,200
,,,,,,,,,,11.673,228,6.655,202
,,,,,,,,,,11.673,228,6.655,202
,,,,,,,,,,11.673,226,6.655,204
,,,,,,,,,,11.673,228,6.655,204
,,,,,,,,,,11.673,228,6.655,204
,,,,,,,,,,11.673,228,6.655,204
,,,,,,,,,,11.673,228,6.655,202
,,,,,,,,,,11.673,228,6.655,204
,,,,,,,,,,11.673,228,6.655,204
,,,,,,,,,,11.673,226,6.655,204
,,,,,,,,,,11.673,228,6.655,204
,,,,,,,,,,11.673,228,6.655,204
,,,,,,,,,,11.673,228,6.655,204
,,,,,,,,,,11.673,226,6.655,206
,,,,,,,,,,11.673,228,6.655,206
,,,,,,,,,,11.673,228,6.655,206
,,,,,,,,,,11.673,228,6.655,208
,,,,,,,,,,11.673,228,6.655,208
,,,,,,,,,,11.673,226,6.655,208
,,,,,,,,,,11.673,228,6.655,208
,,,,,,,,,,11.673,228,6.655,206
,,,,,,,,,,11.673,228,6.655,206
,,,,,,,,,,11.673,228,6.655,204
,,,,,,,,,,11.673,226,6.655,202
,,,,,,,,,,11.673,228,6.655,200
,,,,,,,,,,11.673,228,6.655,200
,,,,,,,,,,11.673,228,6.655,198
,,,,,,,,,,11.673,226,6.655,198
,,,,,,,,,,11.673,228,6.655,198
,,,,,,,,,,11.673,226,6.655,196
,,,,,,,,,,11.673,226,6.655,194
,,,,,,,,,,11.673,228,6.655,194
,,,,,,,,,,11.673,228,6.655,194
,,,,,,,,,,11.673,226,6.655,194
,,,,,,,,,,11.673,226,6.655,194
,,,,,,,,,,11.673,226,6.655,194
,,,,,,,,,,11.673,228,6.655,194
,,,,,,,,,,11.673,228,6.655,194
,,,,,,,,,,11.673,226,6.655,194
,,,,,,,,,,11.673,226,6.655,194
,,,,,,,,,,11.673,228,6.655,194
,,,,,,,,,,11.673,226,6.655,194
,,,,,,,,,,11.673,228,6.655,194
,,,,,,,,,,11.673,228,6.655,194
,,,,,,,,,,11.673,226,6.655,194
,,,,,,,,,,11.673,226,6.655,194
,,,,,,,,,,11.673,228,6.655,194
,,,,,,,,,,11.673,228,6.655,194
,,,,,,,,,,11.673,226,6.655,194
,,,,,,,,,,11.673,228,6.655,194
,,,,,,,,,,11.673,226,6.655,194
,,,,,,,,,,11.673,228,6.655,194
,,,,,,,,,,11.673,228,6.655,194
,,,,,,,,,,11.673,228,6.655,194
,,,,,,,,,,11.673,228,6.655,194
,,,,,,,,,,11.673,228,6.655,194
,,,,,,,,,,11.673,228,6.655,192
,,,,,,,,,,11.673,226,6.655,194
,,,,,,,,,,11.673,228,6.655,194
,,,,,,,,,,11.673,228,6.655,194
,,,,,,,,,,11.673,226,6.655,192
,,,,,,,,,,11.673,228,6.655,194
,,,,,,,,,,11.673,228,6.655,194
,,,,,,,,,,11.673,228,6.655,194
,,,,,,,,,,11.673,228,6.655,194
,,,,,,,,,,11.673,228,6.655,192
,,,,,,,,,,11.673,228,6.655,192
,,,,,,,,,,11.673,228,6.655,192
,,,,,,,,,,11.673,228,6.655,192
,,,,,,,,,,11.673,228,6.655,192
,,,,,,,,,,11.673,228,6.655,192
,,,,,,,,,,11.673,228,6.655,192
,,,,,,,,,,11.673,228,6.655,192
,,,,,,,,,,11.673,228,6.655,192
,,,,,,,,,,11.673,228,6.655,192
,,,,,,,,,,11.673,228,6.655,192
,,,,,,,,,,11.673,228,6.655,192
,,,,,,,,,,11.673,228,6.655,194
,,,,,,,,,,11.673,228,6.655,192
,,,,,,,,,,11.673,228,6.655,192
,,,,,,,,,,11.673,228,6.655,192
,,,,,,,,,,11.673,230,6.655,192
,,,,,,,,,,11.673,228,6.655,192
,,,,,,,,,,11.673,230,6.655,192
,,,,,,,,,,11.673,228,6.655,192
,,,,,,,,,,11.673,230,6.655,192
,,,,,,,,,,11.673,230,6.655,192
,,,,,,,,,,11.673,228,6.655,194
