Calibration,1,21h45m44s," "," "
"Time, s",Light,Threshold,,
0.506,743,742,,
1.012,734,738,,
1.516,737,739,,
2.022,766,754,,
2.531,764,753,,
3.036,627,684,,
3.538,267,504,,
4.041,336,539,,
4.544,230,486,,
5.049,133,437,,
5.556,135,438,,
6.061,177,459,,
6.565,311,526,,
7.07,339,540,,
7.575,343,542,,
8.078,236,489,,
8.582,226,484,,
9.086,236,489,,
9.59,235,488,,
10.094,204,473,,
10.597,302,522,,
11.101,278,510,,
11.604,272,507,,
12.109,262,502,,
12.614,243,492,,
13.118,215,478,,
13.622,200,471,,
14.123,182,462,,
14.628,521,631,,
15.132,574,658,,
15.635,260,501,,
16.14,250,496,,
16.643,247,494,,
17.147,244,493,,
17.652,241,491,,
18.156,214,478,,
18.66,277,509,,
19.164,204,473,,
19.669,191,466,,
20.174,187,464,,
20.679,186,464,,
21.183,185,463,,
21.687,184,463,,
22.189,186,464,,
22.695,183,462,,
23.199,183,462,,
23.704,182,462,,
