Calibration,1,17h47m26s," "," "
"Time, s",Light,Threshold,,
0.502,732,731,,
1.002,734,732,,
1.503,800,765,,
2.004,864,797,,
2.508,862,796,,
3.023,867,798,,
3.539,868,799,,
4.048,866,798,,
4.55,867,798,,
5.055,865,797,,
5.558,827,778,,
6.061,747,738,,
6.564,743,736,,
7.066,747,738,,
7.569,744,737,,
8.071,743,736,,
8.575,743,736,,
9.079,742,736,,
9.585,748,739,,
10.088,749,739,,
10.591,742,736,,
11.096,742,736,,
11.597,748,739,,
12.1,856,793,,
12.605,866,798,,
13.109,863,796,,
13.615,868,799,,
14.122,866,798,,
14.638,868,799,,
15.138,867,798,,
