Calibration,1,1h13m47s," "," "
"Time, s",Light,Threshold,,
0.503,428,434,,
1.008,436,438,,
1.513,434,437,,
2.018,114,277,,
2.522,84,262,,
3.026,84,262,,
3.53,78,259,,
4.035,78,259,,
4.539,82,261,,
5.044,80,260,,
5.547,84,262,,
6.054,84,262,,
6.558,88,264,,
7.061,88,264,,
7.565,86,263,,
8.07,66,253,,
8.573,72,256,,
9.078,68,254,,
9.581,74,257,,
10.087,70,255,,
Set 0,1h14m2s,"Conc. KIO3, M","Conc. NAHSO4, M"," "
Trial,"Time, s",,,
1,6.074,,,
2,6.074,,,
3,0.004,,,
4,3.253,,,
5,4.051,,,
6,4.051,,,
