Calibration,1,22h9m2s," "," "
"Time, s",Light,Threshold,,
0.503,1458,1458,,
1.008,1522,1490,,
1.51,1530,1494,,
2.013,1528,1493,,
2.514,1528,1493,,
3.016,1528,1493,,
3.518,1530,1494,,
4.02,1532,1495,,
4.522,1532,1495,,
5.025,1532,1495,,
5.527,1524,1491,,
6.029,1440,1449,,
6.531,1306,1382,,
7.032,1096,1277,,
7.533,1270,1364,,
8.035,1528,1493,,
8.537,1526,1492,,
9.039,1526,1492,,
9.543,1424,1441,,
10.046,628,1043,,
10.547,414,936,,
11.049,584,1021,,
11.551,512,985,,
12.053,496,977,,
12.556,510,984,,
13.058,512,985,,
13.56,514,986,,
Set 0,22h9m19s,"Conc. KIO3, M","Conc. NAHSO4, M"," "
Trial,"Time, s",,,
1,1.752,,,
2,1.752,,,
