Calibration,1,15h20m27s," "," "
"Time, s",Light,Threshold,,
0.113,794,795,,
0.617,806,801,,
1.12,818,807,,
1.624,819,808,,
2.141,816,806,,
2.665,817,807,,
3.166,818,807,,
3.668,810,803,,
4.171,805,801,,
4.676,813,805,,
5.182,815,806,,
5.69,804,800,,
6.198,786,791,,
6.698,780,788,,
7.206,765,781,,
7.708,766,781,,
8.208,769,783,,
8.709,767,782,,
9.224,766,781,,
9.727,757,777,,
10.233,742,769,,
10.742,734,765,,
11.243,721,759,,
11.753,716,756,,
12.259,701,749,,
12.76,686,741,,
13.263,684,740,,
13.766,682,739,,
14.273,682,739,,
14.789,680,738,,
15.289,682,739,,
15.805,681,739,,
16.308,688,742,,
16.821,682,739,,
17.336,679,738,,
17.84,694,745,,
18.348,770,783,,
18.852,787,792,,
19.355,795,796,,
19.859,753,775,,
20.371,733,765,,
20.878,713,755,,
21.38,711,754,,
21.886,695,746,,
22.388,694,745,,
22.894,701,749,,
23.401,692,744,,
23.92,692,744,,
24.424,687,742,,
24.928,686,741,,
25.44,688,742,,
25.959,688,742,,
26.464,682,739,,
26.964,635,716,,
27.47,603,700,,
27.971,618,707,,
28.477,620,708,,
28.983,618,707,,
29.487,482,639,,
30.002,477,637,,
30.507,476,636,,
31.016,476,636,,
31.519,475,636,,
32.024,475,636,,
32.539,475,636,,
33.043,475,636,,
33.558,475,636,,
34.064,475,636,,
34.568,475,636,,
