Calibration,1,16h42m29s," "," "
"Time, s",Light,Threshold,,
0.36,882,881,,
0.868,907,893,,
1.372,905,892,,
1.884,904,892,,
2.388,907,893,,
2.891,906,893,,
3.395,864,872,,
3.899,844,862,,
4.403,794,837,,
4.911,742,811,,
5.418,700,790,,
5.919,712,796,,
6.43,754,817,,
6.938,910,895,,
7.438,910,895,,
7.95,835,857,,
8.455,742,811,,
8.957,743,811,,
9.457,740,810,,
9.964,725,802,,
10.483,729,804,,
11.001,723,801,,
11.507,661,770,,
12.015,663,771,,
12.519,689,784,,
13.027,684,782,,
13.531,694,787,,
14.032,771,825,,
14.534,772,826,,
15.039,754,817,,
15.542,748,814,,
16.047,739,809,,
16.555,691,785,,
17.059,497,688,,
17.565,489,684,,
18.073,485,682,,
18.576,484,682,,
19.084,485,682,,
19.588,486,683,,
20.092,707,793,,
20.592,744,812,,
21.095,740,810,,
21.599,563,721,,
22.103,508,694,,
22.608,479,679,,
23.111,500,690,,
23.611,490,685,,
24.116,475,677,,
24.622,473,676,,
25.123,475,677,,
25.626,475,677,,
26.129,475,677,,
26.632,475,677,,
27.133,475,677,,
27.636,475,677,,
28.137,475,677,,
28.641,475,677,,
29.142,475,677,,
29.642,475,677,,
Set 0,16h42m59s,"Conc. KIO3, M","Conc. NAHSO4, M"," "
Trial,"Time, s",,,
1,0.0,,,
2,0.0,,,
3,0.0,,,
4,0.0,,,
5,0.0,,,
6,0.0,,,
7,0.0,,,
8,0.0,,,
9,0.0,,,
10,0.0,,,
11,0.0,,,
12,0.0,,,
13,0.0,,,
14,0.0,,,
15,0.0,,,
16,0.0,,,
17,0.0,,,
18,0.0,,,
19,0.0,,,
20,0.0,,,
21,0.0,,,
22,0.0,,,
23,0.0,,,
24,0.0,,,
25,0.0,,,
26,0.001,,,
27,0.0,,,
28,0.0,,,
29,0.0,,,
30,0.0,,,
31,0.0,,,
32,0.0,,,
33,0.0,,,
34,0.0,,,
35,0.0,,,
36,0.0,,,
