Calibration,1,17h54m42s," "," "
"Time, s",Light,Threshold,,
0.514,760,760,,
1.031,762,761,,
1.533,765,763,,
2.034,764,762,,
2.536,772,766,,
3.037,773,767,,
3.538,773,767,,
4.04,773,767,,
4.542,773,767,,
5.044,773,767,,
5.545,773,767,,
6.046,773,767,,
6.548,773,767,,
7.049,773,767,,
7.551,773,767,,
8.052,772,766,,
8.554,772,766,,
9.056,773,767,,
9.557,773,767,,
10.058,773,767,,
10.56,773,767,,
11.061,773,767,,
11.563,772,766,,
12.064,774,767,,
12.566,773,767,,
13.068,774,767,,
13.569,773,767,,
14.07,773,767,,
14.571,773,767,,
15.073,773,767,,
15.575,774,767,,
16.091,773,767,,
16.594,774,767,,
17.095,773,767,,
17.596,773,767,,
18.096,774,767,,
18.599,773,767,,
19.114,773,767,,
19.617,774,767,,
20.119,773,767,,
20.621,773,767,,
21.122,773,767,,
21.624,773,767,,
22.126,773,767,,
22.628,773,767,,
23.129,774,767,,
23.63,773,767,,
24.132,774,767,,
24.633,773,767,,
25.135,773,767,,
25.637,773,767,,
26.138,773,767,,
26.639,773,767,,
27.141,773,767,,
27.643,774,767,,
28.145,773,767,,
28.646,772,766,,
29.147,773,767,,
29.649,772,766,,
30.15,773,767,,
30.652,772,766,,
31.153,772,766,,
31.653,774,767,,
32.153,773,767,,
32.669,773,767,,
33.173,773,767,,
33.677,774,767,,
34.178,774,767,,
34.679,773,767,,
35.181,773,767,,
35.683,773,767,,
36.184,773,767,,
36.686,773,767,,
37.187,773,767,,
37.689,773,767,,
38.19,773,767,,
38.691,774,767,,
39.193,774,767,,
39.695,774,767,,
40.196,773,767,,
40.698,774,767,,
41.199,773,767,,
41.7,773,767,,
42.202,773,767,,
42.704,772,766,,
43.205,773,767,,
43.707,773,767,,
44.208,773,767,,
44.709,773,767,,
45.211,773,767,,
45.712,773,767,,
46.214,772,766,,
46.716,771,766,,
47.217,770,765,,
47.718,770,765,,
48.218,768,764,,
48.734,765,763,,
49.253,759,760,,
49.756,736,748,,
50.271,734,747,,
50.787,733,747,,
51.287,733,747,,
51.787,733,747,,
52.287,733,747,,
52.788,733,747,,
53.289,732,746,,
53.804,733,747,,
54.304,732,746,,
54.808,733,747,,
55.31,734,747,,
55.811,734,747,,
56.313,734,747,,
56.814,733,747,,
57.316,733,747,,
57.817,734,747,,
58.318,733,747,,
58.82,733,747,,
59.321,733,747,,
59.823,733,747,,
60.325,732,746,,
60.826,733,747,,
61.328,732,746,,
61.829,732,746,,
62.33,733,747,,
62.831,732,746,,
63.332,732,746,,
63.834,732,746,,
64.336,731,746,,
64.837,732,746,,
65.339,731,746,,
65.841,731,746,,
66.342,731,746,,
66.843,731,746,,
67.345,731,746,,
67.847,731,746,,
68.348,730,745,,
68.85,730,745,,
69.352,730,745,,
69.853,730,745,,
70.353,730,745,,
70.856,730,745,,
71.357,729,745,,
71.873,729,745,,
72.388,729,745,,
72.907,729,745,,
73.426,728,744,,
73.926,728,744,,
74.426,728,744,,
74.93,728,744,,
75.436,728,744,,
75.937,727,744,,
76.442,728,744,,
76.944,727,744,,
77.445,728,744,,
77.947,728,744,,
78.448,728,744,,
78.95,728,744,,
79.451,728,744,,
79.953,727,744,,
80.453,727,744,,
80.956,727,744,,
81.457,727,744,,
81.958,727,744,,
82.46,727,744,,
82.962,726,743,,
83.464,726,743,,
83.965,726,743,,
84.466,726,743,,
84.968,726,743,,
85.469,726,743,,
85.971,726,743,,
86.472,726,743,,
86.974,726,743,,
87.476,726,743,,
87.976,726,743,,
88.477,726,743,,
88.992,726,743,,
89.497,726,743,,
89.999,726,743,,
90.5,725,743,,
91.002,725,743,,
91.503,725,743,,
92.005,725,743,,
92.506,725,743,,
93.008,725,743,,
93.509,726,743,,
94.011,726,743,,
94.512,725,743,,
95.014,725,743,,
95.515,725,743,,
96.017,725,743,,
96.518,725,743,,
97.02,725,743,,
97.521,725,743,,
98.023,724,742,,
98.53,725,743,,
99.036,725,743,,
99.539,724,742,,
100.044,725,743,,
100.548,725,743,,
101.049,724,742,,
101.551,724,742,,
102.052,725,743,,
102.554,725,743,,
103.056,724,742,,
103.558,724,742,,
104.059,724,742,,
104.559,724,742,,
105.06,724,742,,
105.564,724,742,,
106.065,724,742,,
106.567,724,742,,
107.068,724,742,,
107.57,723,742,,
108.071,724,742,,
108.571,724,742,,
109.072,724,742,,
109.574,725,743,,
110.077,723,742,,
110.577,724,742,,
111.092,724,742,,
111.593,724,742,,
112.094,724,742,,
112.598,724,742,,
113.102,724,742,,
113.603,724,742,,
114.105,723,742,,
114.605,724,742,,
115.108,723,742,,
115.609,724,742,,
116.111,724,742,,
116.612,724,742,,
117.113,724,742,,
117.615,724,742,,
118.117,724,742,,
118.618,724,742,,
119.12,724,742,,
119.621,724,742,,
120.123,724,742,,
120.624,724,742,,
121.125,724,742,,
121.627,724,742,,
122.129,724,742,,
122.631,724,742,,
123.132,724,742,,
123.633,724,742,,
Set 0,17h58m37s,"Conc. KIO3, M","Conc. NAHSO4, M"," "
Trial,"Time, s",,,
1,1.171,,,
2,0.003,,,
3,0.0,,,
4,27.356,,,
5,27.356,,,
