Calibration,1,15h28m42s," "," ",Calibration,2,15h29m43s," "," "
"Time, s",Light,Threshold,,,"Time, s",Light,Threshold,,
0.372,281,281,,,0.356,700,700,,
0.872,285,283,,,0.857,774,737,,
1.372,288,284,,,1.36,877,788,,
1.873,288,284,,,1.872,884,792,,
2.374,289,285,,,2.375,884,792,,
2.889,289,285,,,2.878,879,789,,
3.405,288,284,,,3.378,876,788,,
3.913,289,285,,,3.894,876,788,,
4.421,290,285,,,4.394,877,788,,
4.922,290,285,,,4.894,885,792,,
5.438,290,285,,,5.395,883,791,,
5.941,290,285,,,5.897,883,791,,
6.442,290,285,,,6.4,876,788,,
6.946,291,286,,,6.919,879,789,,
7.446,290,285,,,7.435,883,791,,
7.965,291,286,,,7.944,877,788,,
8.483,291,286,,,8.445,880,790,,
8.999,291,286,,,8.945,755,727,,
9.514,290,285,,,9.447,713,706,,
10.029,290,285,,,9.963,716,708,,
10.531,291,286,,,10.464,713,706,,
11.047,292,286,,,10.966,722,711,,
11.566,296,288,,,11.467,720,710,,
12.086,294,287,,,11.968,711,705,,
12.59,291,286,,,12.474,710,705,,
13.091,288,284,,,12.976,710,705,,
13.591,289,285,,,13.476,707,703,,
14.092,328,304,,,13.978,704,702,,
14.592,325,303,,,14.482,695,697,,
15.092,288,284,,,14.988,696,698,,
15.593,286,283,,,15.504,692,696,,
16.095,287,284,,,16.014,679,689,,
16.595,286,283,,,16.518,658,679,,
17.097,244,262,,,17.018,644,672,,
17.597,230,255,,,17.518,610,655,,
18.098,228,254,,,18.021,539,619,,
18.599,221,251,,,18.54,504,602,,
19.1,221,251,,,19.059,479,589,,
19.6,273,277,,,19.563,453,576,,
20.1,281,281,,,20.068,436,568,,
20.6,282,281,,,20.571,435,567,,
21.101,284,282,,,21.077,426,563,,
21.601,287,284,,,21.577,412,556,,
22.103,288,284,,,22.091,412,556,,
22.607,289,285,,,22.594,393,546,,
23.122,288,284,,,23.095,367,533,,
,,,,,23.597,365,532,,
,,,,,24.097,404,552,,
,,,,,24.613,476,588,,
,,,,,25.113,480,590,,
,,,,,25.614,454,577,,
,,,,,26.114,351,525,,
,,,,,26.615,340,520,,
,,,,,27.115,315,507,,
,,,,,27.616,296,498,,
,,,,,28.131,293,496,,
,,,,,28.632,293,496,,
,,,,,29.135,293,496,,
,,,,,29.635,291,495,,
,,,,,30.136,284,492,,
,,,,,30.636,281,490,,
,,,,,31.14,283,491,,
,,,,,31.644,292,496,,
,,,,,32.144,278,489,,
,,,,,32.645,271,485,,
,,,,,33.146,271,485,,
,,,,,33.647,269,484,,
,,,,,34.148,267,483,,
,,,,,34.648,267,483,,
,,,,,35.148,267,483,,
,,,,,35.649,267,483,,
,,,,,36.153,267,483,,
,,,,,36.655,267,483,,
,,,,,37.174,268,484,,
,,,,,37.693,269,484,,
,,,,,38.208,265,482,,
,,,,,38.724,262,481,,
,,,,,39.228,269,484,,
,,,,,39.742,269,484,,
,,,,,40.245,265,482,,
,,,,,40.748,260,480,,
,,,,,41.249,259,479,,
,,,,,41.764,256,478,,
,,,,,42.283,256,478,,
,,,,,42.801,256,478,,
,,,,,43.316,256,478,,
Set 0,15h30m41s,"Conc. KIO3, M","Conc. NAHSO4, M"," ",,,,,
Trial,"Time, s",,,,,,,,
1,3.272,,,,,,,,
2,3.272,,,,,,,,
3,6.171,,,,,,,,
4,6.171,,,,,,,,
