Calibration,1,13h24m55s," "," ",Calibration,2,13h26m47s," "," "
"Time, s",Light,Threshold,,,"Time, s",Light,Threshold,,
0.501,694,694,,,0.504,651,650,,
1.002,712,703,,,1.005,651,650,,
1.504,863,778,,,1.506,650,650,,
2.005,861,777,,,2.01,651,650,,
2.505,861,777,,,2.513,651,650,,
3.006,861,777,,,3.014,650,650,,
3.508,834,764,,,3.514,650,650,,
4.009,718,706,,,4.015,651,650,,
4.51,704,699,,,4.515,651,650,,
5.012,705,699,,,5.016,651,650,,
5.513,703,698,,,5.517,651,650,,
6.03,705,699,,,6.018,651,650,,
6.552,864,779,,,6.518,651,650,,
7.053,865,779,,,7.019,651,650,,
7.554,860,777,,,,,,,
8.055,862,778,,,,,,,
