Calibration,1,15h37m17s," "," "
"Time, s",Light,Threshold,,
0.303,793,792,,
0.81,811,801,,
1.331,818,805,,
1.833,817,804,,
2.336,810,801,,
2.837,791,791,,
3.34,722,757,,
3.848,684,738,,
4.356,648,720,,
4.864,739,765,,
5.368,816,804,,
5.873,715,753,,
6.38,660,726,,
6.885,656,724,,
7.391,608,700,,
7.899,572,682,,
8.403,484,638,,
8.908,481,636,,
9.416,481,636,,
9.916,481,636,,
10.431,480,636,,
10.932,480,636,,
11.435,480,636,,
11.937,480,636,,
12.441,479,635,,
12.943,479,635,,
13.449,479,635,,
13.961,479,635,,
14.466,479,635,,
14.968,479,635,,
15.472,479,635,,
15.978,480,636,,
16.481,480,636,,
16.985,479,635,,
17.489,479,635,,
17.994,479,635,,
