Calibration,1,17h46m26s," "," "
"Time, s",Light,Threshold,,
0.368,-50,-50,,
0.872,788,369,,
1.376,785,367,,
1.883,774,362,,
2.384,773,361,,
2.884,773,361,,
3.385,772,361,,
3.886,773,361,,
4.386,773,361,,
4.902,773,361,,
5.404,773,361,,
5.908,773,361,,
6.413,772,361,,
6.914,772,361,,
7.416,773,361,,
7.917,773,361,,
8.419,774,362,,
8.92,773,361,,
9.422,773,361,,
9.924,772,361,,
10.425,773,361,,
10.927,774,362,,
11.428,773,361,,
11.93,773,361,,
12.43,773,361,,
12.932,773,361,,
13.434,773,361,,
13.936,773,361,,
14.437,772,361,,
14.939,773,361,,
15.44,773,361,,
15.94,773,361,,
16.443,773,361,,
16.944,772,361,,
17.446,772,361,,
17.948,773,361,,
18.449,773,361,,
18.95,772,361,,
19.45,773,361,,
19.965,773,361,,
20.465,772,361,,
20.981,773,361,,
21.482,773,361,,
21.982,772,361,,
22.483,772,361,,
22.998,773,361,,
23.517,773,361,,
24.02,773,361,,
24.537,773,361,,
25.038,773,361,,
25.539,773,361,,
26.039,773,361,,
26.555,773,361,,
27.055,773,361,,
27.57,773,361,,
28.071,774,362,,
28.571,773,361,,
29.071,773,361,,
29.587,772,361,,
30.102,773,361,,
30.621,773,361,,
31.139,773,361,,
31.64,773,361,,
32.142,772,361,,
32.643,772,361,,
33.145,772,361,,
33.646,772,361,,
34.147,772,361,,
34.649,771,360,,
35.151,768,359,,
35.652,751,350,,
36.154,730,340,,
36.655,729,339,,
37.157,728,339,,
37.658,728,339,,
38.159,729,339,,
38.661,728,339,,
39.163,728,339,,
39.664,728,339,,
40.166,728,339,,
40.667,728,339,,
41.169,728,339,,
41.671,729,339,,
42.172,728,339,,
42.673,728,339,,
43.174,728,339,,
43.676,728,339,,
44.178,728,339,,
44.678,728,339,,
45.181,727,338,,
45.683,727,338,,
46.184,727,338,,
46.684,727,338,,
47.184,727,338,,
47.685,727,338,,
48.19,728,339,,
48.705,727,338,,
49.221,727,338,,
49.722,727,338,,
50.224,727,338,,
50.729,727,338,,
51.23,727,338,,
51.731,727,338,,
52.234,726,338,,
52.734,727,338,,
53.236,726,338,,
53.738,727,338,,
54.239,727,338,,
54.739,726,338,,
55.243,726,338,,
55.744,726,338,,
56.246,726,338,,
56.747,727,338,,
57.248,726,338,,
57.75,727,338,,
58.252,726,338,,
58.753,726,338,,
59.255,726,338,,
59.756,726,338,,
60.258,726,338,,
60.759,726,338,,
61.261,726,338,,
61.762,726,338,,
62.264,726,338,,
62.765,726,338,,
63.266,725,337,,
63.766,725,337,,
64.266,726,338,,
64.769,726,338,,
65.269,725,337,,
65.775,725,337,,
66.276,726,338,,
66.777,726,338,,
67.279,725,337,,
67.78,725,337,,
68.281,726,338,,
68.783,725,337,,
69.285,725,337,,
69.786,725,337,,
70.288,725,337,,
70.789,725,337,,
71.29,726,338,,
71.793,725,337,,
72.294,725,337,,
72.795,726,338,,
73.297,725,337,,
73.798,725,337,,
74.3,725,337,,
74.801,725,337,,
75.303,725,337,,
75.804,725,337,,
76.307,724,337,,
76.808,725,337,,
77.31,725,337,,
77.811,724,337,,
78.312,724,337,,
78.814,724,337,,
79.315,724,337,,
79.815,724,337,,
80.316,724,337,,
80.816,724,337,,
81.316,724,337,,
81.817,726,338,,
82.332,724,337,,
82.833,725,337,,
83.348,724,337,,
83.849,724,337,,
84.35,724,337,,
84.851,724,337,,
85.353,724,337,,
85.856,725,337,,
86.36,724,337,,
86.864,724,337,,
87.369,724,337,,
87.872,724,337,,
88.373,724,337,,
88.875,724,337,,
89.376,724,337,,
89.878,724,337,,
90.38,724,337,,
90.881,724,337,,
91.383,724,337,,
91.884,724,337,,
92.386,724,337,,
92.887,725,337,,
93.387,724,337,,
93.89,724,337,,
94.392,724,337,,
94.893,724,337,,
95.395,724,337,,
95.896,724,337,,
96.397,724,337,,
96.897,724,337,,
97.4,723,336,,
97.919,724,337,,
98.439,724,337,,
98.943,723,336,,
99.445,724,337,,
99.946,724,337,,
100.447,725,337,,
100.949,724,337,,
101.451,724,337,,
101.952,724,337,,
102.454,724,337,,
102.955,724,337,,
103.457,724,337,,
103.959,724,337,,
104.46,724,337,,
104.962,724,337,,
105.462,724,337,,
105.964,723,336,,
106.466,724,337,,
106.967,724,337,,
107.469,724,337,,
107.97,724,337,,
108.472,724,337,,
108.974,724,337,,
109.475,724,337,,
109.977,724,337,,
110.478,724,337,,
110.98,723,336,,
111.481,724,337,,
111.982,724,337,,
112.484,724,337,,
113.0,724,337,,
113.5,724,337,,
114.0,724,337,,
114.506,724,337,,
115.007,723,336,,
115.509,723,336,,
116.01,724,337,,
116.512,723,336,,
117.013,723,336,,
117.514,724,337,,
118.017,724,337,,
118.518,724,337,,
119.019,723,336,,
119.521,724,337,,
120.022,723,336,,
120.524,723,336,,
121.025,724,337,,
121.527,723,336,,
122.029,723,336,,
122.53,723,336,,
123.032,723,336,,
123.533,724,337,,
124.035,724,337,,
124.536,723,336,,
125.037,723,336,,
125.539,723,336,,
126.04,724,337,,
126.546,723,336,,
127.059,723,336,,
127.561,723,336,,
128.062,723,336,,
128.564,724,337,,
129.065,723,336,,
129.566,723,336,,
130.066,723,336,,
130.566,723,336,,
131.069,722,336,,
131.572,719,334,,
