Calibration,1,17h30m10s," "," ",Calibration,2,17h31m35s," "," "
"Time, s",Light,Threshold,,,"Time, s",Light,Threshold,,
0.506,856,855,,,0.521,850,852,,
1.01,853,853,,,1.023,856,855,,
1.512,854,854,,,1.523,856,855,,
2.013,853,853,,,2.026,852,853,,
2.514,855,854,,,2.527,851,852,,
3.016,857,855,,,3.043,851,852,,
3.518,857,855,,,3.545,860,857,,
4.019,857,855,,,4.048,856,855,,
4.521,857,855,,,4.549,855,854,,
5.022,862,858,,,5.051,859,856,,
5.524,863,858,,,5.552,854,854,,
6.025,861,857,,,6.054,855,854,,
6.527,858,856,,,6.555,858,856,,
7.028,859,856,,,7.057,857,855,,
7.53,861,857,,,7.558,851,852,,
8.032,860,857,,,8.06,850,852,,
8.533,858,856,,,8.561,850,852,,
9.034,859,856,,,9.063,856,855,,
,,,,,9.576,852,853,,
,,,,,10.083,851,852,,
,,,,,10.584,850,852,,
,,,,,11.085,861,857,,
,,,,,11.587,864,859,,
,,,,,12.089,862,858,,
,,,,,12.589,861,857,,
,,,,,13.104,861,857,,
,,,,,13.604,860,857,,
,,,,,14.105,861,857,,
,,,,,14.62,864,859,,
,,,,,15.12,864,859,,
,,,,,15.62,865,859,,
,,,,,16.121,865,859,,
,,,,,16.621,864,859,,
,,,,,17.123,861,857,,
,,,,,17.623,862,858,,
,,,,,18.123,860,857,,
,,,,,18.635,864,859,,
,,,,,19.139,855,854,,
,,,,,19.644,856,855,,
,,,,,20.145,852,853,,
,,,,,20.647,852,853,,
,,,,,21.148,857,855,,
,,,,,21.65,857,855,,
,,,,,22.151,858,856,,
,,,,,22.653,845,849,,
,,,,,23.154,692,773,,
,,,,,23.655,696,775,,
,,,,,24.155,700,777,,
,,,,,24.67,700,777,,
,,,,,25.175,701,777,,
,,,,,25.69,702,778,,
,,,,,26.191,702,778,,
,,,,,26.709,703,778,,
,,,,,27.229,702,778,,
,,,,,27.735,704,779,,
,,,,,28.239,704,779,,
,,,,,28.74,703,778,,
,,,,,29.242,703,778,,
,,,,,29.743,703,778,,
,,,,,30.244,703,778,,
,,,,,30.746,704,779,,
,,,,,31.248,703,778,,
,,,,,31.749,702,778,,
,,,,,32.25,703,778,,
,,,,,32.752,704,779,,
,,,,,33.254,704,779,,
,,,,,33.755,703,778,,
,,,,,34.257,702,778,,
,,,,,34.758,702,778,,
,,,,,35.259,704,779,,
,,,,,35.761,703,778,,
,,,,,36.262,702,778,,
,,,,,36.765,702,778,,
,,,,,37.266,698,776,,
,,,,,37.767,698,776,,
,,,,,38.268,699,776,,
,,,,,38.77,701,777,,
Set 0,17h32m22s,"Conc. KIO3, M","Conc. NAHSO4, M"," ",,,,,
Trial,"Time, s",,,,,,,,
1,0.0,,,,,,,,
2,0.0,,,,,,,,
