Calibration,1,17h55m12s," "," ",Calibration,2,17h57m0s," "," "
"Time, s",Light,Threshold,,,"Time, s",Light,Threshold,,
0.507,593,271,,,0.502,616,283,,
1.013,-50,-50,,,1.003,614,282,,
1.515,-50,-50,,,1.505,614,282,,
2.016,-50,-50,,,2.006,618,284,,
2.519,592,271,,,2.508,618,284,,
3.02,593,271,,,3.009,602,276,,
3.522,594,272,,,3.51,597,273,,
4.023,594,272,,,4.011,599,274,,
4.524,592,271,,,4.514,601,275,,
5.025,590,270,,,5.015,601,275,,
5.526,581,265,,,5.517,601,275,,
6.029,509,229,,,6.019,600,275,,
6.544,435,192,,,6.52,598,274,,
7.044,431,190,,,7.021,598,274,,
7.544,430,190,,,7.523,599,274,,
8.06,430,190,,,8.024,598,274,,
8.566,429,189,,,8.54,598,274,,
9.066,428,189,,,9.04,599,274,,
9.571,428,189,,,9.559,599,274,,
10.072,428,189,,,10.078,599,274,,
10.574,428,189,,,10.581,598,274,,
,,,,,11.094,599,274,,
,,,,,11.615,598,274,,
,,,,,12.121,598,274,,
,,,,,12.625,598,274,,
,,,,,13.126,598,274,,
,,,,,13.627,598,274,,
,,,,,14.128,598,274,,
,,,,,14.644,598,274,,
,,,,,15.144,599,274,,
,,,,,15.647,599,274,,
,,,,,16.147,598,274,,
,,,,,16.663,599,274,,
,,,,,17.178,598,274,,
,,,,,17.681,598,274,,
,,,,,18.185,599,274,,
,,,,,18.689,599,274,,
,,,,,19.191,599,274,,
,,,,,19.693,600,275,,
,,,,,20.194,600,275,,
,,,,,20.696,600,275,,
,,,,,21.197,600,275,,
,,,,,21.699,599,274,,
,,,,,22.2,600,275,,
,,,,,22.702,600,275,,
,,,,,23.203,600,275,,
,,,,,23.705,600,275,,
,,,,,24.206,600,275,,
,,,,,24.708,600,275,,
,,,,,25.209,600,275,,
,,,,,25.711,599,274,,
,,,,,26.213,600,275,,
,,,,,26.714,600,275,,
,,,,,27.215,600,275,,
,,,,,27.717,600,275,,
,,,,,28.219,600,275,,
,,,,,28.72,600,275,,
,,,,,29.222,599,274,,
,,,,,29.723,598,274,,
,,,,,30.224,598,274,,
,,,,,30.74,598,274,,
,,,,,31.24,598,274,,
,,,,,31.744,598,274,,
,,,,,32.244,598,274,,
,,,,,32.748,598,274,,
,,,,,33.249,598,274,,
,,,,,33.751,598,274,,
,,,,,34.252,598,274,,
,,,,,34.754,597,273,,
,,,,,35.255,598,274,,
,,,,,35.757,597,273,,
