Calibration,1,17h26m26s," "," ",Calibration,2,17h26m56s," "," "
"Time, s",Light,Threshold,,,"Time, s",Light,Threshold,,
0.516,694,694,,,0.504,850,851,,
1.017,764,729,,,1.024,850,851,,
1.518,858,776,,,1.526,856,854,,
2.02,852,773,,,2.03,855,853,,
2.522,854,774,,,2.544,852,852,,
3.023,854,774,,,3.045,852,852,,
3.525,860,777,,,3.545,851,851,,
4.026,857,775,,,4.06,854,853,,
4.528,854,774,,,4.564,860,856,,
5.029,853,773,,,5.07,854,853,,
5.53,856,775,,,5.576,861,856,,
6.033,857,775,,,6.077,855,853,,
6.534,751,722,,,6.579,856,854,,
7.035,712,703,,,7.079,861,856,,
7.536,705,699,,,7.582,860,856,,
8.038,704,699,,,,,,,
8.54,703,698,,,,,,,
9.041,703,698,,,,,,,
9.543,702,698,,,,,,,
10.044,702,698,,,,,,,
10.546,702,698,,,,,,,
11.047,703,698,,,,,,,
11.549,702,698,,,,,,,
12.05,702,698,,,,,,,
12.551,703,698,,,,,,,
13.053,826,760,,,,,,,
13.553,856,775,,,,,,,
14.068,859,776,,,,,,,
14.569,860,777,,,,,,,
15.07,859,776,,,,,,,
15.585,862,778,,,,,,,
16.086,857,775,,,,,,,
16.587,857,775,,,,,,,
17.09,863,778,,,,,,,
17.598,860,777,,,,,,,
18.1,859,776,,,,,,,
18.601,859,776,,,,,,,
19.103,858,776,,,,,,,
19.604,858,776,,,,,,,
