Calibration,1,16h24m46s," "," "
"Time, s",Light,Threshold,,
0.362,893,892,,
0.863,877,884,,
1.367,905,898,,
1.871,915,903,,
2.373,915,903,,
2.879,913,902,,
3.383,914,902,,
3.887,910,900,,
4.39,912,901,,
4.894,915,903,,
5.398,903,897,,
5.902,897,894,,
6.406,890,890,,
6.907,879,885,,
7.41,839,865,,
7.923,856,873,,
8.426,882,886,,
8.941,859,875,,
9.453,763,827,,
9.964,751,821,,
10.475,741,816,,
10.989,741,816,,
11.508,734,812,,
12.011,727,809,,
12.529,710,800,,
13.029,693,792,,
13.531,675,783,,
14.04,665,778,,
14.547,662,776,,
15.052,663,777,,
15.558,664,777,,
16.058,659,775,,
16.58,658,774,,
17.08,658,774,,
17.587,660,775,,
18.09,658,774,,
18.593,660,775,,
19.097,659,775,,
19.601,657,774,,
20.102,657,774,,
20.608,658,774,,
21.114,657,774,,
21.616,659,775,,
22.12,660,775,,
22.624,659,775,,
23.126,659,775,,
23.626,659,775,,
24.131,659,775,,
24.634,659,775,,
25.142,660,775,,
25.646,660,775,,
26.151,660,775,,
